Unnamed: 0,Unnamed: 1,Prices are per MBF or 1000 board feet,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Grade,ItemDescription,TransactionDate,West,Central,East,SortID
#4,2x12,2024-09-05,190,175,220,5
#4,2x12,2024-09-12,190,175,220,5
#4,2x12,2024-09-20,190,175,220,5
#4,2x12,2024-09-27,195,175,220,5
#4,2x12,2024-10-04,205,175,220,5
#4,2x12,2024-10-11,210,185,220,5
#4,2x12,2024-10-18,215,195,235,5
#4,2x12,2024-10-25,220,205,240,5
#4,2x12,2024-11-01,220,205,240,5
#4,2x12,2024-11-08,220,205,245,5
#4,2x12,2024-11-15,220,205,250,5
#4,2x12,2024-11-22,220,205,255,5
#4,2x12,2024-11-27,220,205,255,5
#4,2x12,2024-12-06,220,205,255,5
#4,2x12,2024-12-13,220,205,255,5
#4,2x12,2024-12-20,220,210,255,5
#4,2x12,2025-01-03,220,215,255,5
#4,2x12,2025-01-10,220,215,255,5
#4,2x12,2025-01-17,220,215,260,5
#4,2x12,2025-01-24,220,215,260,5
#4,2x12,2025-01-31,220,215,265,5
#4,2x12,2025-02-07,225,215,270,5
#4,2x12,2025-02-14,230,220,275,5
#4,2x12,2025-02-21,235,225,275,5
#4,2x12,2025-02-28,245,230,275,5
#4,2x12,2025-03-07,255,240,275,5
#4,2x12,2025-03-14,260,245,280,5
#4,2x12,2025-03-21,265,250,280,5
#4,2x12,2025-03-28,270,250,295,5
#4,2x12,2025-04-04,275,255,295,5
#4,2x12,2025-04-11,280,260,295,5
#4,2x12,2025-04-18,290,265,295,5
#4,2x12,2025-04-25,290,265,295,5
#4,2x12,2025-05-02,290,265,295,5
#4,2x12,2025-05-09,285,260,280,5
#4,2x12,2025-05-16,280,255,270,5
#4,2x12,2025-05-23,265,255,270,5
#4,2x12,2025-05-30,245,255,260,5
#4,2x12,2025-06-06,235,250,260,5
#4,2x12,2025-06-13,220,250,260,5
#4,2x12,2025-06-19,210,250,260,5
#4,2x12,2025-06-27,205,250,250,5
#4,2x12,2025-07-03,205,250,245,5
#4,2x12,2025-07-11,205,240,245,5
#4,2x12,2025-07-18,200,230,245,5
#4,2x12,2025-07-25,195,230,245,5
#4,2x12,2025-08-01,195,230,245,5
#4,2x12,2025-08-08,195,230,245,5
#4,2x12,2025-08-15,195,230,245,5
#4,2x12,2025-08-22,195,225,245,5
#4,2x12,2025-08-29,190,225,245,5
#4,2x12,2025-09-05,190,225,245,5
#4,2x12,2025-09-12,190,225,245,5
#4,2x12,2025-09-19,190,220,245,5
#4,2x12,2025-09-26,190,220,245,5
#4,2x12,2025-10-03,190,220,230,5
#4,2x12,2025-10-10,190,220,245,5
#4,2x12,2025-10-17,190,220,245,5
#4,2x4,2024-01-12,235,235,250,1
#4,2x4,2024-01-18,235,235,250,1
#4,2x4,2024-01-25,235,235,250,1
#4,2x4,2024-02-08,235,235,250,1
#4,2x4,2024-02-15,235,235,250,1
#4,2x4,2024-02-22,240,235,255,1
#4,2x4,2024-02-29,245,245,260,1
#4,2x4,2024-03-07,250,245,260,1
#4,2x4,2024-03-14,250,245,265,1
#4,2x4,2024-03-21,255,250,265,1
#4,2x4,2024-03-28,250,250,265,1
#4,2x4,2024-04-04,245,255,265,1
#4,2x4,2024-04-11,235,255,265,1
#4,2x4,2024-04-18,230,255,260,1
#4,2x4,2024-04-25,225,240,255,1
#4,2x4,2024-05-02,225,235,245,1
#4,2x4,2024-05-09,225,245,245,1
#4,2x4,2024-05-16,225,245,245,1
#4,2x4,2024-05-30,225,240,240,1
#4,2x4,2024-06-06,225,240,240,1
#4,2x4,2024-06-13,225,235,240,1
#4,2x4,2024-06-20,220,225,240,1
#4,2x4,2024-06-27,215,215,235,1
#4,2x4,2024-07-04,215,205,220,1
#4,2x4,2024-07-11,215,205,215,1
#4,2x4,2024-07-18,215,205,215,1
#4,2x4,2024-07-25,215,205,220,1
#4,2x4,2024-08-01,215,205,225,1
#4,2x4,2024-08-08,215,205,225,1
#4,2x4,2024-08-15,215,205,225,1
#4,2x4,2024-08-22,215,205,225,1
#4,2x4,2024-08-29,215,205,225,1
#4,2x4,2024-09-05,215,205,220,1
#4,2x4,2024-09-12,215,205,220,1
#4,2x4,2024-09-20,215,205,220,1
#4,2x4,2024-09-27,220,205,225,1
#4,2x4,2024-10-04,230,205,230,1
#4,2x4,2024-10-11,240,210,235,1
#4,2x4,2024-10-18,245,220,245,1
#4,2x4,2024-10-25,250,225,255,1
#4,2x4,2024-11-01,255,235,265,1
#4,2x4,2024-11-08,260,240,275,1
#4,2x4,2024-11-15,260,240,280,1
#4,2x4,2024-11-22,260,240,280,1
#4,2x4,2024-11-27,260,240,285,1
#4,2x4,2024-12-06,260,240,290,1
#4,2x4,2024-12-13,260,240,290,1
#4,2x4,2024-12-20,260,245,290,1
#4,2x4,2025-01-03,260,250,295,1
#4,2x4,2025-01-10,260,255,305,1
#4,2x4,2025-01-17,265,270,305,1
#4,2x4,2025-01-24,265,280,310,1
#4,2x4,2025-01-31,265,285,315,1
#4,2x4,2025-02-07,275,295,330,1
#4,2x4,2025-02-14,285,310,340,1
#4,2x4,2025-02-21,295,320,345,1
#4,2x4,2025-02-28,305,335,355,1
#4,2x4,2025-03-07,315,340,365,1
#4,2x4,2025-03-14,325,345,370,1
#4,2x4,2025-03-21,335,350,365,1
#4,2x4,2025-03-28,350,355,370,1
#4,2x4,2025-04-04,360,355,355,1
#4,2x4,2025-04-11,365,355,345,1
#4,2x4,2025-04-18,370,355,335,1
#4,2x4,2025-04-25,375,355,330,1
#4,2x4,2025-05-02,375,350,320,1
#4,2x4,2025-05-09,375,335,310,1
#4,2x4,2025-05-16,365,310,300,1
#4,2x4,2025-05-23,335,285,285,1
#4,2x4,2025-05-30,300,265,270,1
#4,2x4,2025-06-06,280,245,255,1
#4,2x4,2025-06-13,250,230,235,1
#4,2x4,2025-06-19,235,225,225,1
#4,2x4,2025-06-27,225,210,205,1
#4,2x4,2025-07-03,225,205,205,1
#4,2x4,2025-07-11,220,205,205,1
#4,2x4,2025-07-18,210,200,205,1
#4,2x4,2025-07-25,205,200,210,1
#4,2x4,2025-08-01,205,200,205,1
#4,2x4,2025-08-08,205,190,200,1
#4,2x4,2025-08-15,205,190,195,1
#4,2x4,2025-08-22,205,180,195,1
#4,2x4,2025-08-29,200,175,195,1
#4,2x4,2025-09-05,200,175,195,1
#4,2x4,2025-09-12,200,175,195,1
#4,2x4,2025-09-19,200,175,195,1
#4,2x4,2025-09-26,200,175,195,1
#4,2x4,2025-10-03,200,175,195,1
#4,2x4,2025-10-10,200,175,195,1
#4,2x4,2025-10-17,200,185,195,1
#4,2x6,2024-01-12,170,145,160,2
#4,2x6,2024-01-18,170,145,160,2
#4,2x6,2024-01-25,170,145,160,2
#4,2x6,2024-02-08,170,145,160,2
#4,2x6,2024-02-15,170,150,165,2
#4,2x6,2024-02-22,175,150,170,2
#4,2x6,2024-02-29,180,155,175,2
#4,2x6,2024-03-07,185,165,180,2
#4,2x6,2024-03-14,185,165,185,2
#4,2x6,2024-03-21,185,165,190,2
#4,2x6,2024-03-28,185,165,190,2
