vendor_cid,mill,mill_region,volume_bf,delivered_cost_per_mbf_avg,rl_price_per_mbf_avg,index_relative_margin_per_mbf_avg
376400,"Georgia-Pacific Corp. (Adairsville, GA)",east,32.0,279.305535714286,,
1028,"Interfor US, Inc (Baxley, GA)",east,201.33333,279.36766898063763,,
1060,"Norbord Industries Inc. (Cordele, GA)",east,32.0,280.0,,
972,"Georgia-Pacific Corp. (Pineland, TX)",west,6783.33349,281.090427012133,,
373367,"Westervelt Lumber Division (Thomasville, AL)",central,620.0,281.76049627694783,,
1023,"Interfor US, Inc (Perry, GA)",east,609.33335,281.9873950838456,,
976,"Georgia-Pacific Corp. (Rome, GA)",east,1937.33332,282.48926087398115,,
1047,"Magnolia Forest Products (Terry, MS)",east,33.00694,284.259127645927,,
14336,"West Fraser Mills Ltd. (Mansfield, AR)",west,3003.33334,284.5723920889769,,
1013,"Hood Industries, Inc. (Wiggins, MS)",central,64.0,285.0,,
15451,"Georgia-Pacfic Corp (Talladega, AL)",central,2387.33331,287.005259742758,,
14307,"Weyerhaeuser NR Company (Holden, LA)",west,2406.00006,289.01988236361024,,
14335,"West Fraser Mills Ltd (New Boston, TX)",west,2989.33333,289.7354741938472,,
377111,"Pollard Lumber Co, Inc (Appling, GA)",east,6.25,290.277777777778,,
373927,"Interfor US, Inc (Belk, AL)",central,1133.99989,290.98135090822535,,
375477,"Mission Forest Products, LP (Corinth, MS)",central,1923.99997,291.84497447033186,,
1063,"Potlatch Land & Lumber, LLC (Warren, AR)",west,319.33333,292.0846302602443,,
1046,"Louisiana - Pacific Corp. (Carthage, TX)",west,32.0,295.0,,
377410,"Gloster Forest Products (Gloster, MS)",central,6689.33329,295.7207800923023,,
1071,"Southeastern Timber Products, LLC (Ackerman, MS)",central,5345.33336,298.8428507523115,,
14331,"West Fraser Mills Ltd. (Henderson, TX)",west,33.333330000000004,299.357146971067,,
378391,"Binderholz Timber, LLC (New Orleans, LA)",west,140.0,300.0,,
1020,"Idaho Timber (Fort Worth, TX)",west,8.0,300.001381802721,,
936,"Canfor Southern Pine (Strong, AR)",west,711.33333,302.379394057095,,
1017,"Hunt Forest Products, LLC (Pollock, LA)",west,170.66667,302.84126315132215,,
15975,"LaSalle Lumber Company, LLC (Olla, LA)",west,5159.33345,303.09876208926835,,
373929,"Interfor US, Inc (Bay Springs, MS)",central,1346.00006,304.08439554320825,,
1030,"Interfor US, Inc (Swainsboro, GA)",east,493.33333,306.67136222927604,,
991,"Georgia-Pacific Corp. (Dudley, NC)",east,16.0,308.1521739130435,,
375185,"Hardy Technologies, LLC (Lumberton, MS)",central,74.66667,310.0264721791586,,
377492,"Randy Miller Lumber Co, Inc (Wilkesboro, NC)",east,12.66666,310.07267729828635,,
14337,"West Fraser Mills Ltd. (Maplesville, AL)",central,151.33333,310.45454662048957,,
15806,"Rogers Lumber Company (Camden, AR)",nan,30.0,314.9999950086805,,
373928,"Interfor US, Inc (Dequincy, LA)",west,585.33333,315.1476357139412,,
14339,"West Fraser Mills Ltd. (Opelika, AL)",central,257.33334,315.3816210510166,,
970,"Georgia-Pacific Corp. (Gurdon, AR)",west,4989.33353,316.60410525601657,,
377137,"Bienville Lumber Company, LLC (Taylor, LA)",west,7413.33354,316.62838043599146,,
376296,"Two Rivers Lumber Company, LLC (Demopolis, AL)",central,30.66667,316.99999391417566,,
375292,"Canfor Southern Pine (Moultrie, GA)",east,21.33334,318.224431818182,,
973,"Georgia-Pacific Corp. (Diboll, TX)",west,2921.33335,319.43707328529104,,
1033,"Jasper Lumber Co, Inc (Jasper, AL)",central,64.0,320.60980436911683,,
373392,"Great Southern Wood Preserving (Abbeville, AL)",central,191.33339999999998,321.00260864756564,,
379011,"Chinook Wood Products Ltd (Vauxhall, AB)",nan,10.66666,321.01146126430353,,
373842,"Southeast Forest Products Mfg, Inc (Louisville, AL)",central,1025.33332,322.24892711827897,,
913,"Park Falls Hardwood (Park Falls, WI)",nan,2.66667,322.5,,
374606,"Biewer Lumber (Winona, MS)",central,15.99999,324.7756511411603,,
1067,"Rex Lumber-Brookhaven (Brookhaven, MS)",central,81.33333,327.05398519041296,,
1021,"Coushatta Forest Products, LLC (Coushatta, LA)",west,2042.0,327.14200776508915,,
1008,"Doman Lumber (Russellville, AR)",west,225.33334,328.09828955495465,,
1002,"Grayson Lumber Corporation (Grayson, AL)",central,6.0,330.0,,
988,"Georgia-Pacific Corp. (Warrenton, GA)",east,252.66667,331.69103250295365,,
14344,"West Fraser Mills Ltd. (Newberry, SC)",east,34.0,333.75000034203276,,
968,"Potlatch Land & Lumber, LLC (Waldo, AR)",west,372.0,339.63384981148573,,
898,"Joseph Swartzentruber (Salem, AR)",nan,307.0,341.63324202458364,,
16283,"M C Dixon Lumber Co, Inc (Eufaula, AL)",central,10.66667,343.348997347974,,
372321,"Resolute FP US, Inc (Glenwood, AR)",west,113.99999,344.0802958276162,,
1062,"Pinecrest Lbr / Green Bay Packaging (Plumerville, AR)",west,3990.66669,344.7745198731024,,
371833,"Rex Lumber Troy, LLC (Troy, AL)",central,305.33332,345.26011176034984,,
376471,"Canfor Southern Pine (Estill, SC)",east,82.66667,345.62990514538586,,
1116,"Littrell Lumber Mill, Inc (Decatur, AL)",central,292.0,347.7956463056561,,
14332,"West Fraser Mills Ltd. (Huttig, AR)",west,954.66666,349.6534990556124,,
373795,"S & S Lumber L.C. (Half Way, MO)",nan,4.0,350.0,,
378138,"Idaho Forest Group, LLC (Moyie Springs, ID)",nan,29.33334,354.5475283009116,,
372983,"K&R Sawmill (Viola, AR)",nan,606.875,356.76750625732683,,
1054,"Meadwestvaco Corporation (Cottonton, AL)",central,800.0,357.1204980263581,,
372786,"Beasley Forest Prod - Yawn (Hazlehurst, GA)",east,254.0,357.3894266021931,,
985,"Georgia-Pacific Corp. (Hosford, FL)",east,32.0,362.189814814815,,
861,"Battle Lumber Company, Inc (Wadley, GA)",nan,16.00002,365.9926551525817,,
15563,"RETURNED GOODS (Bessemer, AL)",nan,2.11111,368.204933586338,,
14371,"Hampton Lumber Sales (Fort Worth, TX)",nan,52.666669999999996,368.9901864776298,,
1024,"Interfor US, Inc (Georgetown, SC)",east,8.0,369.12841796875,,
376059,"Canfor Southern Pine (Deridder, LA)",west,775.33331,369.7522904135288,,
1051,"Martco Limited Partnership - Plywood Div (Chopin, LA)",west,1931.33363,370.0963738295911,,
1034,"Langdale Forest Products Co (Barnesville, GA)",east,26.66667,370.8589975845413,,
378718,"Roseburg Forest Products (Weldon, NC)",east,18.0,373.924365942029,,
955,"Canfor Southern Pine (Camden, SC)",east,8.0,375.0,,
975,"Georgia-Pacific Corp. (Taylorsville, MS)",central,490.66675,378.1462825366062,,
14313,"Weyerhaeuser NR Company (Zwolle, LA)",west,149.33338,379.45943437572356,,
14377,"Jack Batte and Sons, Inc. (Forest, MS)",central,1763.0,379.9540672193019,,
953,"Cal-Tex Lumber Co. (Pollok, TX)",west,294.6667,380.4152870311526,,
954,"Canfor Southern Pine (Graham, NC)",east,8.0,385.0,,
375987,"Warren Timbers Company, LLC (Warren, AR)",west,1328.50001,385.53571604926793,,
373376,"D B Hostetler Sawmill (Warm Springs, AR)",nan,48.0,387.91682449494994,,
14369,"Harrigan Lumber Company, Inc. (Monroeville, AL)",central,822.0,388.51339950841765,,
1029,"Interfor US, Inc (Eatonton, GA)",east,152.0,390.93709887772707,,
14376,"Charles Ingram (Effingham, SC)",east,267.08333,391.0733242181854,,
14341,"West Fraser Mills Ltd. (Russellville, AR)",west,898.66667,393.4567127330936,,
373870,"Hankins Lumber Company, Inc (Grenada, MS)",central,44.0,394.4444444444446,,
1052,"Mason Forest Products, Inc (Grove Hill, AL)",central,1.3333,396.0,,
15918,"Carthage Hardwoods, LLC (Carthage, TX)",nan,2.66667,399.035628181088,,
376305,"Martin Kropf (Viola, AR)",nan,194.66667,399.76159030029316,,
15425,"WoodPerfect (Albertville, AL)",central,138.00001,404.24242599987434,,
376981,"Josiah Christner (Carrsville, KY)",nan,96.0,409.58332899305555,,
376578,"Central Missouri Forest Products, LLC (New Bloomfield, MO)",nan,8.0,410.0,,
377767,"Atlee E Hershberger (Summersville, MO)",nan,136.0,412.03524227163155,,
373459,"Burkholder's Wood Products, LLC (Verona, MO)",nan,72.0,412.22221932870366,,
374762,"Show-Me Hardwoods & Geenhouse (Exeter, MO)",nan,80.0,412.99999739583325,,
376577,"CMFP Eldon LLC (Eldon, MO)",nan,56.0,413.69047619047615,,
881,"Frizzell Sawmill (Salem, MO)",nan,32.0,415.0,,
977,"Georgia-Pacific Corp. (Camden, TX)",west,917.33341,416.50548530958514,,
919,"Red Mountain Hardwoods LLC (Atlanta, TX)",nan,118.66667,417.55670404795575,,
374644,"Victor Kropf (Pocahontas, AR)",nan,140.0,418.35236830106624,,
378312,"HLS Hostetler Logging Sawmill (Warm Springs, AR)",nan,200.0,420.14954734848476,,
375656,"Dupont Pine Products, LLC (Alapaha, GA)",east,1416.0,420.7448004837379,,
373779,"Georgia-Pacific Corp. (Alcolu, SC)",east,96.0,422.96095269097196,,
375222,"Vernon Kropf (Pocahontas, AR)",nan,8.0,428.219755366162,,
379369,"Wesley Hostetler (Emden, MO)",nan,8.0,430.0,,
984,"Georgia-Pacific Corp. (Prosperity, SC)",east,32.00001,430.14874245019365,,
1037,"KyKenKee, Inc (Vance, AL)",central,173.33335,432.0593387510825,,
378967,"Dewey Hostetler (Salem, KY)",nan,32.0,433.4156210542927,,
371800,"G K Sawmill, LLC (Halfway, MO)",nan,182.33334,434.448145245559,,
373796,"Red Mountain Hardwoods LLC (Atlanta, TX)",nan,20.416619999999998,436.85686032196656,,
373473,"Brand Wood Products, LLC (Steelville, MO)",nan,8.0,437.745975378788,,
378956,"RB Lumber Co, LLC dba DS Smith Riceboro Lumber (Riceboro, GA)",east,1088.0,440.3501523656337,,
15757,"Georgia-Pacific Corp (Madison, GA)",east,32.0,443.333333333333,,
979,"Georgia-Pacific Corp. (Mexia, AL)",central,1145.33334,448.60393417542355,,
886,"Jadwin Lumber Company, LLC (Salem, MO)",nan,490.66674,456.46353361803847,,
371990,"King Lumber - Lincoln Lumber Miss. LLC DBA (Forest, MS)",central,13.33334,456.6666596498483,,
1074,"Snider Industries, LLP (Marshall, TX)",west,113.66667,459.154078222682,,
14355,"Hunt Forest Products, LLC (Winnfield, LA)",nan,21.33334,460.0,,
978,"Georgia-Pacific Corp. (Camden, TX)",west,96.0,469.3333269675927,,
892,"J&J Lumber Company, Inc (Amity, AR)",nan,25.24998,474.7236484259997,,
14553,"Larry Conway Sawmill, Inc. (Steelville, MO)",nan,16.0,480.0,,
915,"Prater Hardwood Products Inc (Wyandotte, OK)",nan,53.33332,487.822266848227,,
1004,"Doman Lumber (Gilmer, TX)",west,46.33331,489.706731253273,,
932,"Wood Tie (Idabel, OK)",nan,64.0,495.0,,
1048,"Magnolia Forest Products (Lewisville, AR)",west,191.75345000000002,495.68926638955526,,
934,"Yoder Hardwood (Verona, MO)",nan,360.46183,499.1992565051437,,
374413,"Boise Building Solutions/Distribution (Tulsa, OK)",west,6.66667,506.09632034632,,
1084,"Steely Lumber (Huntsville, TX)",west,14.0,506.431667357745,,
377717,"Tolko Marketing and Sales Ltc (San Antonio, TX)",nan,26.66666,515.162369255439,,
942,"Austell Forest Products Inc (Gordo, AL)",central,151.66667,517.2828820199554,,
379451,"J&H Forest Products, Inc (Coeur D Alene, ID)",nan,10.66667,523.405612244898,,
377491,"Pallets Ready, LLC (Summertown, TN)",nan,85.33333,527.2688050399764,,
906,"Mountain Timber, Inc (Hector, AR)",nan,114.0,530.8332930307542,,
14790,"Magnolia Forest Products (Carrollton, GA)",east,264.23958,531.2951997200936,,
377472,"Houston Foam Plastics, Inc (Houston, TX)",nan,0.30469,531.874120383037,,
14324,"G & S Lumber (Nacogdoches, TX)",nan,194.66667999999999,537.7848808231282,,
14770,"Homan Forest Products Corporate, Inc (Fulton, MS)",central,4716.00015,540.7782891559465,,
995,"Georgia-Pacific Corp. (Diboll, TX)",west,34.666669999999996,541.6180023800575,,
379355,"Mercer Timber Products, LLC (Vancouver, BC)",nan,16.0,543.139880952381,,
14358,"Triple E Trucking (Colfax, LA)",nan,40.00001,548.6052169731938,,
15709,"Industrial and Wholesale Lumber, Inc (Schiller Park, IL)",nan,226.99999,550.6635338926384,,
817,"Dixie Plywood And Lumber Co (Garland, TX)",nan,32.0,555.312053571429,,
14370,"Hampton Lumber Sales (San Antonio, TX)",nan,18.0,562.894364104949,,
376842,"Ball Lumber Company Inc. (Millers Tavern, VA)",east,1224.00021,562.9166666666666,,
378394,"Industria de Compensados Sudati LTDA (Corpus Christi, TX)",nan,32.0,565.0,,
379742,"Industria de Compensados Sudati LTDA (Houston, TX)",nan,128.0,565.0,,
14554,"Hankins, Inc. (Memphis, TN)",nan,80.0,576.5624832589285,,
372211,"Doman Lumber (Rison, AR)",west,13.0,580.0,,
379764,"Brunswick Valley Lumber, Inc (Fredericton, NB)",nan,16.0,583.530276308054,,
379004,"Boscus Canada Inc (Joshua, TX)",nan,20.0,586.8716254094229,,
969,"Eastex Forest Products (Houston, TX)",west,283.99998,604.8068827286385,,
374438,"Industrial and Wholesale Lumber, Inc (Wood Dale, IL)",nan,6.66667,610.499941690962,,
373109,"Lincoln Lumber Co, Inc (Brookhaven, MS)",central,190.66668,617.3078820924337,,
372768,"Stark Truss Co, Inc DBA Stark Forest Products (Canton, OH)",nan,50.666669999999996,624.9206575520835,,
377243,"Lufkin Distrib & Supply, Inc DBA Neches Lumber Co (Nacogdoches, TX)",nan,106.66666000000001,629.9803582045448,,
875,"Davie Ashley Sawmill, LLC (Elora, TN)",nan,45.33334,637.0814494382087,,
374071,"Binderholz Timber, LLC (Lake Charles, LA)",west,21.33334,640.359445861678,,
15419,"FG Lumber, Inc (Sylvania, AL)",nan,12.0,647.777777777778,,
14771,"Rutland Lumber Company, Inc. (Collins, MS)",nan,16.0,650.0,,
376322,"Boise Bldg Solutions/Distribution (Birmingham, AL)",nan,74.66666000000001,651.0550162406325,,
374927,"Magnum Forest Products, Ltd.  (Winnepeg, MB)",nan,147.00001,651.0565379479755,,
372269,"MK Hardwoods, LLC (Middlefield, OH)",nan,6.95833,657.637843766281,,
379606,"Clays Pallet Mill Inc (Pocahontas, AR)",nan,40.0,660.0,,
372018,"Hatfield Lumber Co (Hatfield, AR)",west,2155.33334,662.1172849593343,,
868,"Church & Church Lumber Company, LLC (Wilkesboro, NC)",nan,42.55557,671.4773485542687,,
983,"Georgia-Pacific Corp. (Corrigan, TX)",west,64.0,671.4999615147785,,
813,"Boise Bldg Solutions/Distribution (Sugarland, TX)",nan,284.00001,680.1415247283486,,
812,"Boise Bldg Solutions/Distribution (Dallas, TX)",nan,604.66669,682.3400000082147,,
14713,"Flowers Timber Company, Inc (Seven Springs, NC)",nan,1016.0,686.0440962992856,,
378533,"Weyerhauser NR Company (Houston, TX)",nan,192.0,686.683147749042,,
869,"Church & Church Lumber Company, LLC (Wilkesboro, NC)",nan,9.27778,696.9349083999964,,
901,"Mark Twain Forest Products (Centerville, MO)",nan,44.0,704.1667324284508,,
1006,"Doman Lumber (Caddo Mills, TX)",west,113.33335,715.0328830810818,,
811,"Bluelinx Corporation (Fort Worth, TX)",nan,426.00002,748.711831991708,,
375739,"Hopkins Lumber Contractors, Inc (Ridgeway, VA)",nan,6.0,753.0,,
164839,"Valley Timber Inc (Fort Payne, AL)",nan,30.5469,766.0437857368328,,
379812,"Carter Forest Products, Inc (Calgary, AB)",nan,10.66667,773.582723922902,,
14328,"B & B Log & Lumber Co, Inc. (Atoka, OK)",nan,844.6666299999999,792.179932272492,,
377490,"Dickerson Lumber Co (Summer Shade, KY)",nan,45.0,816.3474119191175,,
372519,"Chickasaw Lumber Company, LLC (Navasota, TX)",west,2066.99997,817.7427549307365,,
376756,"B&C Industries, Inc (Somerset, KY)",nan,55.81943,858.0609981007383,,
15276,"Johnson Lumber Co, Inc (Spavinaw, OK)",nan,128.66667,961.1553378240458,,
376070,"International Forest Products (New Orleans, LA)",west,3.75,1249.0666666666698,,
371844,"Doman Lumber (Hattiesburg, MS)",central,91.33333,1258.8659616889177,,
12314,"Utah Lumber Co. (Ogden, UT)",nan,101.66669,1340.7141503270261,,
890,"JHT Robertson Lumber, Inc (Fairfield, IL)",nan,700.83333,1461.0890523996502,,
374802,"Hoover Treated Wood Products, Inc (Pine Bluff, AR)",nan,138.66667,1697.6164186620601,,
372897,"McVantage Packaging, LLC (Tuscumbia, AL)",nan,815.50007,1708.3893106477278,,
15844,"Fred Netterville Lumber Co (Woodville, MS)",nan,1381.0,7649.08481423552,,
378396,"LanMills LLC (Crossville, TN)",nan,5.77778,8523.147002096435,,
880,"FG Sawmill (Tahlequah, OK)",nan,48.66665,15177.821818308006,,
12463,"Lone Star Packaging Solutions (Ennis, TX)",nan,70.33333999999999,26659.68712932849,,
372932,"Tuscaloosa Forest Products, Inc (Northport, AL)",nan,15.0,48791.666666666664,,
1128,"Stella-Jones Corp (Goshen, VA)",nan,3.0,76500.0,,
375415,"JM Forest Products, LLC (Pulaski, TN)",nan,12.0,79053.3314402357,,
373025,"Alabama Pallets (Birmingham, AL)",nan,3.0,81666.66666666667,,
924,"Southern Boys Heat Treat, LLC (Houston, TX)",nan,6.0,100000.0,,
15947,"Stella-Jones Corp (Livingston, TX)",nan,402.0,176500.0,,
372305,"Gary D Liverett (Ashville, AL)",nan,29.0,198965.5172413793,,
