Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"SAGINAW, TX → DALLAS, TX",1,2.0,8.16326530612245,49.0
"NAVASOTA, TX → BRYAN, TX",1,5.0,8.16326530612245,49.0
"BRYAN, TX → LOTT, TX",5,3.8,8.134328358208954,67.0
"BIRMINGHAM, AL → TUSCALOOSA, AL",4,3.25,8.089285714285714,70.0
"TALLADEGA, AL → ATLANTA, GA",1,1.0,8.080808080808081,99.0
"BRYAN, TX → HUNTSVILLE, TX",69,0.057971014492753624,8.064516129032262,62.0
"CORINTH, MS → BOLIVAR, TN",1,1.0,8.043478260869565,46.0
"TUSCUMBIA, AL → WALNUT, MS",13,7.0,8.043476523476523,77.0
"DIBOLL, TX → JACKSONVILLE, TX",6,1.1666666666666667,8.04040404040404,66.0
"DALLAS, TX → RHOME, TX",1,2.0,8.035714285714286,56.0
"EL DORADO, AR → BOSSIER CITY, LA",1,1.0,8.0,100.0
"BRYAN, TX → CYPRESS, TX",3,0.0,7.9411764705882355,85.0
"FULTON, MS → HALEYVILLE, AL",48,3.375,7.903874269005853,57.0
"HEARNE, TX → GEORGETOWN, TX",2,26.5,7.894736842105263,76.0
"BIRMINGHAM, AL → COLUMBIANA, AL",2,1.0,7.892156862745098,51.0
"DIERKS, AR → AMITY, AR",5,4.2,7.867924528301887,53.0
"COLLINS, MS → FLOWOOD, MS",1,4.0,7.7272727272727275,66.0
"TALLADEGA, AL → FORT PAYNE, AL",3,4.0,7.710843373493976,83.0
"ROME, GA → ATLANTA, GA",2,3.5,7.702546296296296,72.5
"BRYAN, TX → DALE, TX",2,2.0,7.6923076923076925,91.0
"BRYAN, TX → RACCOON BEND, TX",3,7.333333333333333,7.626262626262626,66.0
"PERRY, GA → MC INTYRE, GA",1,3.0,7.611940298507463,67.0
"ROME, GA → CHATTANOOGA, TN",1,7.0,7.594936708860759,79.0
"BELK, AL → VINEMONT, AL",1,7.0,7.575757575757576,99.0
"MT. GILEAD, NC → ARCHDALE, NC",1,3.0,7.421875,64.0
