Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"VANCE, AL → MONTGOMERY, AL",3,2.3333333333333335,4.816272965879265,127.0
"MARSHALL, TX → BONHAM, TX",2,4.0,4.813664596273291,161.0
"CORINTH, MS → ELORA, TN",2,10.0,4.813664596273291,161.0
"BRYAN, TX → CROWLEY, TX",6,4.0,4.805050505050505,165.0
"PRESTON, GA → MC INTYRE, GA",3,2.6666666666666665,4.799054373522459,141.0
"LOUISVILLE, AL → ACWORTH, GA",1,4.0,4.797979797979798,198.0
"DES PLAINES, IL → TOLEDO, OH",1,0.0,4.797047970479705,271.0
"MOUNDVILLE, AL → DULUTH, GA",1,7.0,4.791666666666667,240.0
"POCAHONTAS, AR → MEMPHIS, TN",1,1.0,4.790697674418604,129.0
"MOUNDVILLE, AL → RANBURNE, AL",7,6.857142857142857,4.78125,160.0
"BRYAN, TX → LA VERNIA, TX",1,1.0,4.777070063694268,157.0
"BIRMINGHAM, AL → CLEVELAND, TN",3,1.3333333333333333,4.776536312849163,179.0
"CORINTH, MS → MORRISTOWN, TN",1,1.0,4.775725593667546,379.0
"MILLPORT, AL → MIDDLETON, TN",23,9.478260869565217,4.774967061923583,165.0
"MOUNDVILLE, AL → CULLMAN, AL",3,9.333333333333334,4.765840220385676,121.0
"PINELAND, TX → HEARNE, TX",2,6.0,4.765133689839573,187.0
"BRYAN, TX → DIBOLL, TX",14,2.4285714285714284,4.762755102040816,140.0
"LIVINGSTON, TX → LOVELADY, TX",1,5.0,4.761904761904762,63.0
"LEWISVILLE, AR → LONGVIEW, TX",1,5.0,4.761904761904762,126.0
"COLUMBUS, MS → IUKA, MS",2,4.5,4.757462686567164,134.0
"BRYAN, TX → BOERNE, TX",5,2.2,4.745762711864407,177.0
"NACOGDOCHES, TX → MT PLEASANT, TX",8,4.375,4.738729508196722,122.0
"TAYLOR, LA → JACKSONVILLE, TX",20,2.7,4.736766666666667,150.0
"BELK, AL → MOSCOW, TN",1,3.0,4.733727810650888,169.0
"NACOGDOCHES, TX → DALLAS, TX",1,6.0,4.733727810650888,169.0
"DIERKS, AR → HENDERSON, TX",12,6.083333333333333,4.72953216374269,171.0
"BRYAN, TX → FT WORTH, TX",8,2.5,4.72386663132472,172.75
"HECTOR, AR → PINE BLUFF, AR",6,3.0,4.722581018518518,144.0
"MOUNDVILLE, AL → EAST POINT, GA",3,1.3333333333333333,4.717261904761904,224.0
"ACKERMAN, MS → JACKSON, TN",1,6.0,4.716981132075472,212.0
"BRUCE, MS → CARROLLTON, MO",1,17.0,4.713804713804714,594.0
"ATLANTA, TX → JEWETT, TX",1,6.0,4.712041884816754,191.0
"BRYAN, TX → HUTCHINS, TX",5,5.4,4.706172839506173,162.0
"NEWBERRY, SC → RIDGEWAY, VA",4,9.5,4.700460829493087,217.0
"ENNIS, TX → BRYAN, TX",1,3.0,4.6992481203007515,133.0
"FOREST, MS → MEMPHIS, TN",1,1.0,4.698492462311558,199.0
"ATLANTA, TX → GRAPELAND, TX",1,2.0,4.6875,160.0
"BELK, AL → MEMPHIS, TN",2,4.0,4.687150837988828,179.0
"BIRMINGHAM, AL → LAWRENCEVILLE, GA",10,3.3,4.681311098332375,186.5
"COTTONTON, AL → MC INTYRE, GA",5,4.8,4.672413793103448,174.0
"WARM SPRINGS, AR → LITTLE ROCK, AR",1,3.0,4.668674698795181,166.0
"PIEDMONT, SC → ATLANTA, GA",1,1.0,4.666666666666667,150.0
"SILVER CREEK, MS → PRICHARD, AL",1,1.0,4.664516129032258,155.0
"GURDON, AR → KANSAS CITY, KS",1,2.0,4.662698412698413,504.0
"TAYLOR, LA → PINE BLUFF, AR",1,5.0,4.651162790697675,172.0
"EMDEN, MO → SAINT JOSEPH, MO",1,2.0,4.651162790697675,172.0
"CORINTH, MS → MC LEANSBORO, IL",1,10.0,4.646840148698884,269.0
"BIRMINGHAM, AL → ASHLAND CITY, TN",20,5.7,4.646650717703349,209.0
"HOUSTON, TX → BRYAN, TX",1,6.0,4.646551724137931,116.0
"MONROEVILLE, AL → GORDO, AL",3,2.3333333333333335,4.62962962962963,162.0
"IDABEL, OK → JACKSONVILLE, TX",8,1.375,4.627603550295858,169.0
"BIRMINGHAM, AL → EATONTON, GA",20,4.6,4.624894514767933,237.0
"DIERKS, AR → FORT WORTH, TX",1,1.0,4.618473895582329,249.0
"BRYAN, TX → DALLAS, TX",61,3.9344262295081966,4.6129269178268295,174.9344262295082
"CORINTH, MS → FLINTVILLE, TN",6,5.166666666666667,4.610335429769392,159.0
"BRYAN, TX → ATHENS, TX",2,4.0,4.60431654676259,139.0
"SWAINSBORO, GA → ATLANTA, GA",1,3.0,4.603448275862069,174.0
"GLOSTER, MS → PORT NECHES, TX",1,5.0,4.602510460251046,239.0
"VICKSBURG, MS → EXETER, MO",1,2.0,4.595185995623632,457.0
"THORSBY, AL → GASTONIA, NC",1,6.0,4.5893719806763285,414.0
"PHILADELPHIA, MS → MIDDLETON, TN",30,14.6,4.5849645732689215,207.0
"PHILADELPHIA, MS → ACWORTH, GA",2,11.0,4.577464788732394,355.0
"LANETT, AL → BRENT, AL",1,4.0,4.57516339869281,153.0
"PINELAND, TX → CONROE, TX",5,1.6,4.570692175619328,138.2
"BRUCE, MS → ARMOREL, AR",1,6.0,4.56989247311828,186.0
"WALDO, AR → JACKSONVILLE, TX",2,1.0,4.56989247311828,186.0
"CORINTH, MS → HARRISBURG, IL",3,6.666666666666667,4.564315352697095,241.0
"MILLPORT, AL → MEMPHIS, TN",6,3.3333333333333335,4.563063063063063,185.0
"PRESTON, GA → ACWORTH, GA",1,1.0,4.545454545454546,176.0
"BRYAN, TX → KAUFMAN, TX",2,2.0,4.545454545454545,165.0
"VIOLA, AR → SAINT JOSEPH, MO",13,4.923076923076923,4.538265074457484,360.84615384615387
"VIOLA, AR → LITCHFIELD, IL",1,2.0,4.529616724738676,287.0
"PLUMERVILLE, AR → STEPHENS, AR",1,2.0,4.526903225806452,155.0
"MANSFIELD, AR → DENISON, TX",1,6.0,4.522613065326633,199.0
"THOMASVILLE, AL → SOMERSET, KY",2,1.0,4.519774011299435,531.0
"FLORIEN, LA → MONROE, LA",3,1.3333333333333333,4.516129032258065,155.0
"MILLPORT, AL → SELMER, TN",3,3.3333333333333335,4.516129032258064,155.0
"NEW BOSTON, TX → JACKSONVILLE, TX",3,1.6666666666666667,4.513888888888889,144.0
"CORINTH, MS → CROSSVILLE, TN",1,1.0,4.512635379061372,277.0
"DIBOLL, TX → MOUNT PLEASANT, TX",2,3.5,4.509803921568627,153.0
"MONTICELLO, AR → SAGINAW, TX",1,6.0,4.5092838196286475,377.0
"MAGNOLIA, AR → DALLAS, TX",1,4.0,4.5085470085470085,234.0
"MERIDIAN, MS → LAGRANGE, GA",1,1.0,4.508196721311475,244.0
"MOUNDVILLE, AL → SELMER, TN",1,0.0,4.502369668246446,211.0
"MERIDIAN, MS → HARRISBURG, IL",1,9.0,4.502369668246446,422.0
"OLLA, LA → JACKSONVILLE, TX",8,4.875,4.501173708920187,213.0
"DIBOLL, TX → HUTCHINS, TX",1,2.0,4.49438202247191,178.0
"GURDON, AR → CATOOSA, OK",1,2.0,4.49438202247191,267.0
"BRYAN, TX → FORT WORTH, TX",10,3.0,4.492142881866325,170.0
"MERIDIAN, MS → WEST MONROE, LA",1,4.0,4.4907407407407405,216.0
"MILLPORT, AL → FLINTVILLE, TN",4,8.25,4.478609625668449,187.0
"DODSON, LA → SILSBEE, TX",30,8.433333333333334,4.478237847222221,192.0
"PARK FALLS, WI → BOYCEVILLE, WI",1,3.0,4.477611940298507,134.0
"DIERKS, AR → SCOTTSVILLE, TX",1,6.0,4.477611940298507,134.0
"BAY SPRINGS, MS → NORTHPORT, AL",6,1.8333333333333333,4.476351351351352,148.0
"MERIDIAN, MS → MOSCOW, TN",2,1.0,4.473684210526316,228.0
"OAKDALE, LA → LA PORTE, TX",1,4.0,4.473684210526316,190.0
"POLLOK, TX → HOUSTON, TX",1,1.0,4.471830985915493,142.0
"CORRIGAN, TX → ITASCA, TX",1,5.0,4.45945945945946,185.0
"VICKSBURG, MS → JACKSONVILLE, TX",2,8.0,4.4520547945205475,292.0
"MERIDIAN, MS → NASHVILLE, TN",1,2.0,4.451038575667655,337.0
"GURDON, AR → JACKSONVILLE, TX",3,3.3333333333333335,4.447077409162717,211.0
"DIBOLL, TX → DALLAS, TX",15,2.6666666666666665,4.447054041919789,177.53333333333333
"MERIDIAN, MS → LA PLACE, LA",1,4.0,4.444444444444445,225.0
"FAIRFIELD, IL → LEBANON, OH",2,1.0,4.442508710801394,287.0
"BIRMINGHAM, AL → COMMERCE, GA",12,6.083333333333333,4.438244047619048,224.0
"ROME, GA → TUSCUMBIA, AL",2,1.5,4.428571428571429,175.0
"VICKSBURG, MS → BULLARD, TX",2,7.0,4.421768707482993,294.0
"CAMDEN, AR → DENTON, TX",1,14.0,4.421768707482993,294.0
"PHILADELPHIA, MS → SELMER, TN",6,2.1666666666666665,4.420473773265652,197.0
"LOUISVILLE, AL → BIRMINGHAM, AL",1,2.0,4.419889502762431,181.0
"BRYAN, TX → DUBLIN, TX",1,3.0,4.419889502762431,181.0
"THOMASVILLE, AL → LINCOLN, AL",1,5.0,4.419889502762431,181.0
"DODSON, LA → JACKSONVILLE, TX",15,4.466666666666667,4.417460317460319,210.0
"LEESVILLE, LA → HENDERSON, TX",1,5.0,4.415584415584416,154.0
"ACKERMAN, MS → BIRMINGHAM, AL",14,1.5714285714285714,4.415028603507271,174.71428571428572
"DUDLEY, GA → TOWNVILLE, SC",1,9.0,4.413043478260869,230.0
"OAKDALE, LA → HOUSTON, TX",2,1.5,4.411764705882353,204.0
"DIERKS, AR → FREMONT, NE",1,17.0,4.407294832826747,658.0
"CORINTH, MS → FORT PAYNE, AL",2,5.0,4.405718085106383,188.0
"BIRMINGHAM, AL → SURGOINSVILLE, TN",16,5.0,4.397058823529411,340.0
"VIOLA, AR → LITTLE ROCK, AR",2,2.5,4.3939393939393945,165.0
"MOUNDVILLE, AL → ACWORTH, GA",6,9.5,4.392655367231639,236.0
"BIRMINGHAM, AL → MERIDIAN, MS",2,7.5,4.3905806451612905,155.0
"WAYNESBORO, MS → BIRMINGHAM, AL",7,2.142857142857143,4.386062717770035,205.0
"DODSON, LA → PORT NECHES, TX",4,5.5,4.380841121495327,214.0
"BRYAN, TX → LA PORTE, TX",1,6.0,4.37956204379562,137.0
"PINELAND, TX → PASADENA, TX",2,4.5,4.378698224852071,169.0
"PHILADELPHIA, MS → MONTGOMERY, AL",2,6.0,4.378172588832488,197.0
"PHILADELPHIA, MS → MEMPHIS, TN",4,5.0,4.377799552071669,188.5
"OLLA, LA → SILSBEE, TX",22,5.818181818181818,4.376195454545455,200.0
"DIBOLL, TX → ENNIS, TX",5,3.4,4.375,160.0
"PINELAND, TX → HOUSTON, TX",29,1.9310344827586208,4.373858986597771,156.41379310344828
"BIRMINGHAM, AL → SELMER, TN",1,1.0,4.371859296482412,199.0
"VIOLA, AR → BENTON, AR",1,5.0,4.371584699453552,183.0
"ALBERTVILLE, AL → KNOXVILLE, TN",1,5.0,4.368932038834951,206.0
"JOYCE, LA → JACKSONVILLE, TX",4,3.75,4.368279569892473,186.0
"WADLEY, GA → LAWRENCEVILLE, GA",6,2.0,4.367088607594936,158.0
"BRYAN, TX → VINTON, LA",3,1.6666666666666667,4.366812227074236,229.0
"NACOGDOCHES, TX → CROSBY, TX",1,1.0,4.3624161073825505,149.0
"BRYAN, TX → SCHULENBURG, TX",2,3.0,4.3604651162790695,86.0
"DECATUR, AL → RANBURNE, AL",1,2.0,4.3604651162790695,172.0
"MOUNDVILLE, AL → NASHVILLE, TN",1,1.0,4.359848484848484,264.0
"PINELAND, TX → CORSICANA, TX",4,2.5,4.350828729281768,181.0
"JOYCE, LA → PORT NECHES, TX",2,6.5,4.3504901960784315,204.0
"DALLAS, TX → BRYAN, TX",1,-4.0,4.3478260869565215,184.0
"BIRMINGHAM, AL → GREENVILLE, GA",1,4.0,4.3478260869565215,161.0
"MERIDIAN, MS → SELMER, TN",1,0.0,4.3478260869565215,207.0
"DODSON, LA → CATOOSA, OK",1,13.0,4.3478260869565215,460.0
"IDABEL, OK → DALLAS, TX",13,2.4615384615384617,4.344015683268156,180.30769230769232
"DIERKS, AR → BULLARD, TX",4,3.75,4.3359375,192.0
"BELK, AL → SELMER, TN",1,1.0,4.333333333333333,150.0
"FOREST, MS → BIRMINGHAM, AL",7,2.2857142857142856,4.3331514716439345,199.0
"VIOLA, AR → CATOOSA, OK",3,3.6666666666666665,4.331983805668016,247.0
"BRUCE, MS → CHICKAMAUGA, GA",1,6.0,4.326923076923077,312.0
"FULTON, MS → RANBURNE, AL",20,7.85,4.325934579439251,214.0
"CARTHAGE, AR → WINFIELD, KS",1,10.0,4.319654427645788,463.0
"BRUCE, MS → BIRMINGHAM, AL",21,2.3333333333333335,4.317285005916269,190.9047619047619
"BRYAN, TX → GRANDVIEW, TX",1,3.0,4.316546762589928,139.0
"WARREN, AR → MT PLEASANT, TX",2,7.0,4.314720812182741,197.0
"THORSBY, AL → MILTON, FL",2,2.5,4.314720812182741,197.0
"HATFIELD, AR → NEWTON, KS",1,13.0,4.30379746835443,395.0
"WALDO, AR → DESOTO, TX",1,2.0,4.30327868852459,244.0
"POLLOK, TX → DALLAS, TX",2,3.5,4.3019480519480515,159.5
"STRONG, AR → BUFFALO, TX",1,5.0,4.301075268817204,279.0
"FLORIEN, LA → JEWETT, TX",1,1.0,4.301075268817204,186.0
"VERONA, MO → DUPO, IL",1,4.0,4.296875,256.0
"DIERKS, AR → FT WORTH, TX",8,3.0,4.291626410061869,263.0
"BRUCE, MS → RINGGOLD, GA",2,3.5,4.29140127388535,314.0
"MOUNDVILLE, AL → FLINTVILLE, TN",4,5.0,4.28921568627451,204.0
"MONROEVILLE, AL → BIRMINGHAM, AL",4,3.0,4.288461538461538,195.0
"DEMOPOLIS, AL → MIDDLETON, TN",1,4.0,4.285714285714286,245.0
"BRYAN, TX → CENTER, TX",2,5.0,4.285714285714286,175.0
"BRYAN, TX → ALVIN, TX",3,3.3333333333333335,4.285714285714286,140.0
"OLLA, LA → SCOTTSVILLE, TX",2,10.0,4.281767955801105,181.0
"DIBOLL, TX → BROWNWOOD, TX",2,5.0,4.280821917808219,292.0
"CORINTH, MS → CHICKAMAUGA, GA",1,1.0,4.273504273504273,234.0
"ACKERMAN, MS → EAST POINT, GA",1,2.0,4.272151898734177,316.0
"VICKSBURG, MS → PINE BLUFF, AR",3,5.333333333333333,4.260299625468165,178.0
"CORINTH, MS → ACWORTH, GA",1,1.0,4.2592592592592595,270.0
"CAMDEN, TX → DUNCAN, OK",1,4.0,4.25531914893617,376.0
"FLORIEN, LA → BEAUMONT, TX",1,1.0,4.25531914893617,141.0
"MILLPORT, AL → FORT PAYNE, AL",2,4.0,4.254901960784314,204.0
"BIRMINGHAM, AL → BOWLING GREEN, KY",6,2.1666666666666665,4.2526771653543305,254.0
"MILLPORT, AL → SPRINGFIELD, MO",1,11.0,4.251012145748988,494.0
"FLORIEN, LA → FARMERSVILLE, TX",1,3.0,4.2471042471042475,259.0
"HOUSTON, TX → HUTTO, TX",5,3.4,4.246263473053892,167.0
"HOUSTON, TX → ROUND ROCK, TX",1,5.0,4.237288135593221,177.0
"ACKERMAN, MS → DULUTH, GA",2,16.5,4.235294117647059,340.0
"TAYLOR, LA → ATHENS, TX",1,1.0,4.232804232804233,189.0
"DIERKS, AR → GROVETON, TX",1,1.0,4.230769230769231,260.0
"IDABEL, OK → BROKEN ARROW, OK",4,5.0,4.224537037037037,216.0
"CORINTH, MS → DULUTH, GA",4,7.25,4.220963172804533,353.0
"NACOGDOCHES, TX → HOUSTON, TX",4,2.0,4.216919835465635,143.25
"WOODVILLE, MS → PASS CHRISTIAN, MS",1,1.0,4.213483146067416,178.0
"DERIDDER, LA → DALLAS, TX",1,3.0,4.212454212454213,273.0
"HOLDEN, LA → PORT NECHES, TX",10,4.4,4.212328767123287,219.0
"RUSSELLVILLE, AR → STEPHENS, AR",2,3.0,4.211956521739131,184.0
"PHILADELPHIA, MS → BIRMINGHAM, AL",19,2.3157894736842106,4.211431510178917,191.57894736842104
"BRYAN, TX → WYLIE (M), TX",12,4.166666666666667,4.2105263157894735,190.0
"BRYAN, TX → WYLIE (H), TX",12,3.5833333333333335,4.2105263157894735,190.0
"CORINTH, MS → MADISON, IN",1,3.0,4.209183673469388,392.0
"GLOSTER, MS → HENDERSON, TX",9,9.88888888888889,4.2082501663339995,334.0
"SALEM, KY → RENSSELAER, IN",1,4.0,4.20353982300885,339.0
"MILLPORT, AL → ATLANTA, GA",2,3.0,4.2,250.0
"BOGALUSA, LA → BUNKIE, LA",1,1.0,4.198863636363637,176.0
"FOREST, MS → PINE BLUFF, AR",1,11.0,4.198473282442748,262.0
"DIERKS, AR → OKLAHOMA CITY, OK",1,2.0,4.198473282442748,262.0
"BIRMINGHAM, AL → BRISTOL, TN",11,1.8181818181818181,4.1982155775259224,377.0
"DIERKS, AR → CORSICANA, TX",1,6.0,4.196078431372549,255.0
"VICKSBURG, MS → MOSCOW, TN",1,14.0,4.195804195804196,286.0
"MILLPORT, AL → LINCOLN, AL",1,1.0,4.193548387096774,155.0
"IDABEL, OK → SAGINAW, TX",1,3.0,4.191919191919192,198.0
"TAYLORSVILLE, MS → BATON ROUGE, LA",1,3.0,4.18848167539267,191.0
"DIERKS, AR → DALLAS, TX",25,4.84,4.1883841286656995,225.92
"DIBOLL, TX → LOTT, TX",1,5.0,4.186046511627907,172.0
"FLORIEN, LA → BRYAN, TX",10,1.8,4.184931506849315,219.0
"NACOGDOCHES, TX → HAMSHIRE, TX",3,1.0,4.183977011494253,145.0
"BIRMINGHAM, AL → HOLLY SPRINGS, MS",5,3.2,4.183015706806282,191.0
"POLLOK, TX → STEPHENVILLE, TX",1,3.0,4.180327868852459,244.0
"PHILADELPHIA, MS → HALEYVILLE, AL",12,6.0,4.177387914230019,171.0
"STRONG, AR → OKLAHOMA CITY, OK",1,1.0,4.176904176904177,407.0
"BRYAN, TX → CARTHAGE, TX",8,6.125,4.172120418848167,191.0
"GLOSTER, MS → CASTOR, LA",1,3.0,4.166666666666667,240.0
"GURDON, AR → TUNAS, MO",1,1.0,4.166666666666667,336.0
"HOUSTON, TX → KILGORE, TX",1,1.0,4.166666666666667,192.0
"VICKSBURG, MS → GROVETON, TX",1,5.0,4.166666666666667,336.0
"SCHILLER PARK, IL → ROCK ISLAND, IL",3,1.3333333333333333,4.166666666666667,178.0
"FORT WORTH, TX → KAUFMAN, TX",1,4.0,4.166666666666667,72.0
"OLLA, LA → GRAND PRAIRIE, TX",2,2.5,4.163853437628654,348.5
"VICKSBURG, MS → LA VERGNE, TN",1,3.0,4.158004158004158,481.0
"PINELAND, TX → BRYAN, TX",8,3.75,4.15514179013845,183.375
"MILLPORT, AL → ACWORTH, GA",7,4.857142857142857,4.15294742432289,269.0
"PINELAND, TX → MOUNT PLEASANT, TX",1,3.0,4.152046783625731,171.0
"SUMMERSVILLE, MO → CATOOSA, OK",1,6.0,4.151943462897527,283.0
"BAY SPRINGS, MS → BIRMINGHAM, AL",2,2.5,4.149181757553994,197.5
"GORDO, AL → GORDO, AL",1,-1.0,4.146341463414634,246.0
"DIBOLL, TX → IRVING, TX",6,3.1666666666666665,4.145408163265305,196.0
"BRYAN, TX → SAGINAW, TX",2,4.5,4.1450777202072535,193.0
"BRYAN, TX → IRVING, TX",12,3.5,4.133064516129031,186.0
"DIERKS, AR → JACKSONVILLE, TX",38,3.236842105263158,4.130011609907118,204.0
"GORDO, AL → MERIDIAN, MS",6,-2.1666666666666665,4.129887727448704,123.5
"ACKERMAN, MS → SCAMMON, KS",1,1.0,4.129263913824057,557.0
"IDABEL, OK → TULSA, OK",3,5.666666666666667,4.126602564102564,208.0
"VICKSBURG, MS → STEPHENS, AR",1,2.0,4.12621359223301,206.0
"OWENSBORO, KY → HICKMAN, KY",1,3.0,4.123711340206185,194.0
"BRYAN, TX → CARROLLTON, TX",29,2.4482758620689653,4.120051085568326,189.0
"PHILADELPHIA, MS → PRICHARD, AL",1,1.0,4.117647058823529,170.0
"BIRMINGHAM, AL → SPARTA, TN",13,6.076923076923077,4.116560295599597,229.0
"TALLADEGA, AL → TUSCUMBIA, AL",9,2.6666666666666665,4.11498708010336,172.0
"DIBOLL, TX → GRAND PRAIRIE, TX",3,4.333333333333333,4.112010185790152,198.66666666666666
"FLORIEN, LA → HOUSTON, TX",8,1.625,4.111596480052847,209.5
"TROY, AL → RANBURNE, AL",5,6.0,4.111111111111112,180.0
"COLUMBUS, MS → DECATUR, AL",1,2.0,4.109589041095891,146.0
"BIRMINGHAM, AL → TOCCOA, GA",16,7.1875,4.108739837398373,246.0
"BRYAN, TX → KERRVILLE, TX",1,6.0,4.106280193236715,207.0
"PINELAND, TX → AUSTIN, TX",4,4.75,4.104477611940299,268.0
"THOMASVILLE, AL → BIRMINGHAM, AL",1,1.0,4.104046242774566,173.0
"WARRENTON, GA → ACWORTH, GA",1,3.0,4.103448275862069,145.0
"PRESTON, GA → WELLFORD, SC",1,-2.0,4.100946372239748,317.0
"CAMDEN, TX → SEGUIN, TX",8,3.75,4.0994208494208495,259.0
"SPAVINAW, OK → OKLAHOMA CITY, OK",1,2.0,4.096045197740113,177.0
"NACOGDOCHES, TX → FORT WORTH, TX",1,1.0,4.091435643564356,202.0
"TROY, AL → ACWORTH, GA",1,1.0,4.089285714285714,224.0
"TAYLOR, LA → BONHAM, TX",4,6.25,4.088541666666667,240.0
"TROY, AL → BIRMINGHAM, AL",3,2.3333333333333335,4.087470449172577,141.0
"MERIDIAN, MS → RIPLEY, TN",1,4.0,4.081632653061225,294.0
"IDABEL, OK → IRVING, TX",1,5.0,4.081632653061225,196.0
"GURDON, AR → CENTER, TX",1,5.0,4.081632653061225,196.0
"ACKERMAN, MS → ACWORTH, GA",2,10.0,4.080118694362018,337.0
"THORSBY, AL → FROSTPROOF, FL",4,5.0,4.078483245149911,567.0
"DIBOLL, TX → AUSTIN, TX",8,4.125,4.076913619321704,228.75
"BIRMINGHAM, AL → KNOXVILLE, TN",25,4.4,4.0745,264.0
"EL DORADO, AR → GRAND PRAIRIE, TX",1,18.0,4.074074074074074,270.0
"POLLOK, TX → CARTER LAKE, IA",1,8.0,4.073587385019711,761.0
"PHILADELPHIA, MS → SPRINGFIELD, MO",3,5.0,4.0733197556008145,491.0
"BELK, AL → TOCCOA, GA",2,8.5,4.072948328267477,329.0
"MOUNDVILLE, AL → FORT PAYNE, AL",1,7.0,4.069767441860465,172.0
"MONROEVILLE, AL → SOUTH PITTSBURG, TN",1,5.0,4.069767441860465,344.0
"BAY SPRINGS, MS → EAST POINT, GA",3,3.3333333333333335,4.069767441860464,344.0
"DIERKS, AR → GRAND PRAIRIE, TX",3,8.666666666666666,4.067534186670449,237.66666666666666
"VICKSBURG, MS → OKLAHOMA CITY, OK",1,2.0,4.063604240282685,566.0
"LEWISVILLE, AR → DUNCAN, OK",2,6.0,4.063467492260062,323.0
"DECATUR, AL → AUBURN, KY",1,5.0,4.060913705583756,197.0
"TROY, AL → BLOUNTSVILLE, AL",1,1.0,4.060773480662983,181.0
"HENDERSON, TX → HEARNE, TX",1,4.0,4.060402684563758,149.0
"DIERKS, AR → SAN ANTONIO, TX",1,4.0,4.056795131845842,493.0
"ACKERMAN, MS → FORT PAYNE, AL",2,4.0,4.056603773584905,265.0
"DIERKS, AR → SAGINAW, TX",4,7.0,4.049625468164794,267.0
"HOLDEN, LA → SILSBEE, TX",3,3.3333333333333335,4.0476190476190474,231.0
"BRYAN, TX → SHERMAN, TX",1,4.0,4.0476190476190474,231.0
"HERMANVILLE, MS → POTTSVILLE, AR",3,5.333333333333333,4.046153846153846,325.0
"GURDON, AR → WHITESBORO, TX",1,0.0,4.045643153526971,241.0
"WAYNESBORO, MS → POTTSVILLE, AR",1,7.0,4.044943820224719,445.0
"BIRMINGHAM, AL → HARTSELLE, AL",3,3.3333333333333335,4.044117647058823,68.0
"OLLA, LA → QUINLAN, TX",1,1.0,4.042904290429043,303.0
"BRUCE, MS → CULLMAN, AL",8,4.125,4.041005291005291,189.0
"IDABEL, OK → CROWLEY, TX",5,3.6,4.039473684210526,228.0
"MOUNDVILLE, AL → LAGRANGE, GA",9,2.3333333333333335,4.033119658119658,208.0
"GURDON, AR → ALVARADO, TX",1,2.0,4.032258064516129,279.0
"TAYLOR, LA → HUTCHINS, TX",6,2.1666666666666665,4.0310245310245305,231.0
"DIERKS, AR → TULSA, OK",2,5.0,4.030612244897959,245.0
"BAY SPRINGS, MS → MACALESTER, OK",1,3.0,4.029304029304029,546.0
"JOYCE, LA → BONHAM, TX",2,5.5,4.026845637583893,298.0
"FLORIEN, LA → BRENHAM, TX",1,1.0,4.02542372881356,236.0
"DODSON, LA → FT WORTH, TX",1,0.0,4.024767801857585,323.0
"GURDON, AR → DALLAS, TX",19,2.6842105263157894,4.016173259653859,243.0
"EFFINGHAM, SC → WELLFORD, SC",2,5.5,4.0131578947368425,190.0
"DERIDDER, LA → AUSTIN, TX",2,7.5,4.012345679012346,324.0
"SILVER CREEK, MS → NORTHPORT, AL",1,1.0,4.009433962264151,212.0
"PHILADELPHIA, MS → MOSCOW, TN",1,15.0,4.009216589861751,217.0
"CHOPIN, LA → MT PLEASANT, TX",3,3.0,4.005493197278912,196.0
"MOUNDVILLE, AL → WALNUT, MS",1,5.0,4.00462962962963,216.0
"LOUISVILLE, AL → MC INTYRE, GA",2,5.0,4.004424778761062,226.0
"GORDO, AL → CHATTANOOGA, TN",2,4.0,4.004329004329005,231.0
"SWAINSBORO, GA → CLEVELAND, NC",1,3.0,4.0,300.0
"BRYAN, TX → WEATHERFORD, TX",9,4.888888888888889,3.9978716744913916,213.0
"BIRMINGHAM, AL → PANAMA CITY, FL",10,2.4,3.996478873239437,284.0
"FLORIEN, LA → MT PLEASANT, TX",20,3.75,3.9918032786885247,183.0
"MILLPORT, AL → SOMERSET, KY",3,4.0,3.9889415481832544,422.0
"ABBEVILLE, AL → FLINTVILLE, TN",8,4.625,3.9836448598130842,321.0
"WARRENTON, GA → RIDGEWAY, VA",7,4.571428571428571,3.980539584254754,323.0
"OLLA, LA → KENNARD, TX",1,8.0,3.9800995024875623,201.0
"PLUMERVILLE, AR → WICHITA, KS",1,1.0,3.9800995024875623,402.0
"SILVER CREEK, MS → HUTCHINS, TX",2,3.5,3.978494623655914,465.0
"COUSHATTA, LA → WACO, TX",1,2.0,3.9762845849802373,253.0
"NACOGDOCHES, TX → TAYLOR, TX",1,1.0,3.9743589743589745,195.0
"VIOLA, AR → OKLAHOMA CITY, OK",2,4.0,3.9726027397260273,365.0
"FLORIEN, LA → DUNCAN, OK",2,3.0,3.97196261682243,428.0
"OAKDALE, LA → FERNWOOD, MS",1,0.0,3.97196261682243,214.0
"POCAHONTAS, AR → PORTLAND, IN",1,5.0,3.9714285714285715,525.0
"OLLA, LA → AUSTIN, TX",1,3.0,3.9713541666666665,384.0
"IDABEL, OK → CORSICANA, TX",1,6.0,3.971291866028708,209.0
"TAYLOR, LA → ENNIS, TX",3,2.0,3.9699570815450644,233.0
"IDABEL, OK → HUTCHINS, TX",2,5.0,3.9682539682539684,189.0
"OLLA, LA → LOTT, TX",1,1.0,3.967065868263473,334.0
"TAYLOR, LA → SEGUIN, TX",2,3.5,3.966346153846154,416.0
"OAKDALE, LA → WILMAR, AR",1,2.0,3.9647577092511015,227.0
"MERIDIAN, MS → ALVARADO, TX",1,3.0,3.9622641509433962,530.0
"DIBOLL, TX → FT WORTH, TX",4,2.5,3.961267605633803,213.0
