Mill,Loads,AvgDaysToShip,AvgCostPerMile
"Boise Cascade, LLC (Oakdale, LA)",9,2.2222222222222223,3.939612991216392
"Boise Cascade, LLC (Florien, LA)",78,2.8333333333333335,3.9254309402374736
"Wood Tie (Idabel, OK)",2,1.5,3.9170506912442398
"West Fraser Mills Ltd (Joyce, LA)",13,4.076923076923077,3.9121677213814037
"Doman Lumber - Winnfield (Winnfield, LA)",1,1.0,3.911764705882353
"Canfor Southern Pine (Strong, AR)",4,2.75,3.8866500338441385
"Doman Lumber (Caddo Mills, TX)",3,4.666666666666667,3.8833333333333333
"Georgia-Pacific Corp. (Warrenton, GA)",10,4.3,3.8820792069624175
"Weyerhaeuser NR Company (Dierks, AR)",299,4.8561872909699,3.8813128109108033
"Mid South Lumber, Inc (Meridian, MS)",62,2.9193548387096775,3.8641211781226734
"West Fraser Mills Ltd. (Henderson, TX)",4,5.0,3.8598102808293655
"Pallets Ready, LLC (Summertown, TN)",9,5.333333333333333,3.857008970260792
"Southeastern Timber Products, LLC (Ackerman, MS)",116,4.431034482758621,3.854706327105081
"Weyerhaeuser NR Company (Idabel, OK)",119,4.8655462184873945,3.845391550461858
"Weyerhaeuser NR Company (Philadelphia, MS)",211,5.829383886255924,3.8399168854769896
"Industria de Compensados Sudati LTDA (Houston, TX)",4,4.5,3.833333333333333
"Georgia-Pacific Corp. (Corrigan, TX)",2,3.0,3.8212416660692523
"Two Rivers Lumber Company, LLC (Demopolis, AL)",2,3.0,3.8095238095238093
"Industrial and Wholesale Lumber, Inc (Schiller Park, IL)",7,2.0,3.787816309289134
"Georgia-Pacific Corp. (Gurdon, AR)",134,2.6791044776119404,3.7712627257883233
"Canfor Southern Pine (El Dorado, AR)",13,4.461538461538462,3.758303635540386
"Bienville Lumber Company, LLC (Taylor, LA)",396,4.088383838383838,3.7512456098163525
"Georgia-Pacific Corp (Madison, GA)",1,1.0,3.742138364779874
"Industrial and Wholesale Lumber, Inc (Wood Dale, IL)",1,1.0,3.7313432835820897
"Southeast Forest Products Mfg, Inc (Louisville, AL)",36,3.5,3.720873172936977
"King Lumber - Lincoln Lumber Miss. LLC DBA (Forest, MS)",3,7.0,3.7176777710621884
"T R Miller Co, Inc. (Brewton, AL)",1,4.0,3.7151702786377707
"Jack Batte and Sons, Inc. (Forest, MS)",48,4.375,3.7102852129518094
"Westervelt Lumber Division (Thomasville, AL)",24,5.458333333333333,3.694735020011126
"Red Mountain Hardwoods LLC (Atlanta, TX)",16,2.75,3.693576018963838
"Idaho Forest Group, LLC (Moyie Springs, ID)",2,4.0,3.675925925925926
"Carthage Forest Products, LLC (Carthage, AR)",13,9.307692307692308,3.67481545936952
"Coushatta Forest Products, LLC (Coushatta, LA)",24,3.4166666666666665,3.6736141394956245
"Hood Industries, Inc (Waynesboro, MS)",29,2.1724137931034484,3.667778650136662
"West Fraser Mills Ltd (New Boston, TX)",14,3.4285714285714284,3.6359381875205563
"Larry Conway Sawmill, Inc. (Steelville, MO)",1,3.0,3.6253776435045317
"Eastex Forest Products (Houston, TX)",8,1.625,3.62234679260125
"K&R Sawmill (Viola, AR)",53,3.1320754716981134,3.620031390926908
"Church & Church Lumber Company, LLC (Wilkesboro, NC)",3,3.3333333333333335,3.599374021909233
"Canfor Southern Pine (Fulton, AL)",8,1.0,3.570491175573101
"Meadwestvaco Corporation (Cottonton, AL)",20,3.25,3.5704467537277615
"Interfor US, Inc (Bay Springs, MS)",32,3.0625,3.565014997354722
"Southern Lumber Company, Inc. (Hermanville, MS)",15,3.6666666666666665,3.55262846998773
"CLW, Inc. (Splendora, TX)",3,4.333333333333333,3.552123552123552
"Hood Industries, Inc. (Wiggins, MS)",1,5.0,3.5437881873727086
"Hoover Treated Wood Products, Inc (Pine Bluff, AR)",1,1.0,3.5426731078904994
"Georgia-Pacific Corp. (Taylorsville, MS)",23,2.5217391304347827,3.50949590866603
"Vicksburg Forest Products, LLC (Vicksburg, MS)",134,4.104477611940299,3.508485880472688
"Harrigan Lumber Company, Inc. (Monroeville, AL)",33,7.7272727272727275,3.5081206946415313
"Hatfield Lumber Co (Hatfield, AR)",3,5.0,3.497866389357048
"HLS Hostetler Logging Sawmill (Warm Springs, AR)",23,3.8260869565217392,3.4977845003183314
"West Fraser Mills Ltd. (Russellville, AR)",16,3.3125,3.4916268586317427
"JHT Robertson Lumber, Inc (Fairfield, IL)",7,3.5714285714285716,3.4849638680813935
"Stella-Jones Corp (Goshen, VA)",3,2.6666666666666665,3.475255930087391
"Weyerhaeuser NR Company (Magnolia, MS)",196,5.051020408163265,3.4684252462104643
"Victor Kropf (Pocahontas, AR)",16,2.4375,3.463161852106061
"Gloster Forest Products (Gloster, MS)",202,3.232673267326733,3.455550039515947
"LaSalle Lumber Company, LLC (Olla, LA)",288,5.850694444444445,3.45064208177523
"Canfor Southern Pine (Camden, SC)",1,2.0,3.4482758620689653
"Hankins Lumber Company, Inc (Grenada, MS)",4,7.25,3.4467315807983123
"Lincoln Lumber Co, Inc (Brookhaven, MS)",3,2.0,3.442495126705653
"Hood Industries, Inc. (Silver Creek, MS)",25,3.12,3.4386989986221383
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",8,2.375,3.431264732722964
"Littrell Lumber Mill, Inc (Decatur, AL)",5,2.2,3.430930303189078
"National Salvage & Service Corporation (Deridder, LA)",1,11.0,3.4111310592459607
"Rex Lumber Troy, LLC (Troy, AL)",20,4.5,3.405249502004298
"Canfor Southern Pine (Bucks, AL)",10,4.3,3.395022384462969
