mill,product,count
"Potlatch Land & Lumber, LLC (Waldo, AR)",2x6 | #1 | 14ft,1
"Potlatch Land & Lumber, LLC (Waldo, AR)",2x8 | #2 | 10ft,1
"Potlatch Land & Lumber, LLC (Warren, AR)",2x10 | #2 | 14ft,2
"Potlatch Land & Lumber, LLC (Warren, AR)",2x4 | #2 | 20ft,2
"Potlatch Land & Lumber, LLC (Warren, AR)",2x4 | #2 | 18ft,1
"RB Lumber Co, LLC dba DS Smith Riceboro Lumber (Riceboro, GA)",4x6 | #2 | 16ft,34
"Resolute FP US, Inc (Glenwood, AR)",2x10 | #2 | 14ft,1
"Rex Lumber Troy, LLC (Troy, AL)",4x4 | #2 | 10ft,5
"Rex Lumber Troy, LLC (Troy, AL)",2x6 | #2 | 12ft,2
"Rex Lumber Troy, LLC (Troy, AL)",2x12 | #2 | 14ft,1
"Rex Lumber Troy, LLC (Troy, AL)",2x12 | #2 | 16ft,1
"Rex Lumber Troy, LLC (Troy, AL)",2x4 | #2 | 16ft,1
"Rex Lumber-Brookhaven (Brookhaven, MS)",2x8 | #1 | 16ft,1
"Rex Lumber-Brookhaven (Brookhaven, MS)",2x8 | #1 | 8ft,1
"Roseburg Forest Products (Weldon, NC)",2x6 | #2 | 10ft,1
"Roseburg Forest Products (Weldon, NC)",2x6 | #2 | 8ft,1
"Snider Industries, LLP (Marshall, TX)",1x4 | #2 | 14ft,3
"Southeast Forest Products Mfg, Inc (Louisville, AL)",2x8 | #2 | 10ft,4
"Southeast Forest Products Mfg, Inc (Louisville, AL)",4x6 | #2 | 10ft,3
"Southeast Forest Products Mfg, Inc (Louisville, AL)",2x8 | #2 | 16ft,2
"Southeast Forest Products Mfg, Inc (Louisville, AL)",2x6 | #2 | 16ft,1
"Southeast Forest Products Mfg, Inc (Louisville, AL)",2x8 | #2 | 12ft,1
"Southeast Forest Products Mfg, Inc (Louisville, AL)",4x4 | #2 | 12ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x4 | #2 | 12ft,7
"Southeastern Timber Products, LLC (Ackerman, MS)",4x4 | #2 | 14ft,6
"Southeastern Timber Products, LLC (Ackerman, MS)",4x4 | #1 | 12ft,5
"Southeastern Timber Products, LLC (Ackerman, MS)",2x4 | #2 | 10ft,2
"Southeastern Timber Products, LLC (Ackerman, MS)",2x4 | #2 | 12ft,2
"Southeastern Timber Products, LLC (Ackerman, MS)",4x4 | #1 | 14ft,2
"Southeastern Timber Products, LLC (Ackerman, MS)",4x6 | #1 | 14ft,2
"Southeastern Timber Products, LLC (Ackerman, MS)",2x4 | #2 | 16ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",2x4 | #2 | 20ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x4 | #2 | 10ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x6 | #1 | 10ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x6 | #1 | 20ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x6 | #2 | 14ft,1
"Southeastern Timber Products, LLC (Ackerman, MS)",4x6 | #2 | 8ft,1
"Trimjoist Corporation (Columbus, MS)",2x4 | #1 | 12ft,1
"Two Rivers Lumber Company, LLC (Demopolis, AL)",2x4 | #2 | 10ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",4x6 | #2 | 14ft,11
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x8 | #2 | 12ft,3
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #1 | 14ft,2
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x8 | #2 | 10ft,2
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x10 | #2 | 8ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #1 | 12ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #1 | 16ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #1 | 18ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #1 | 8ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x4 | #2 | 10ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x6 | #2 | 14ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",2x6 | #2 | 8ft,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",4x6 | #2 | 10ft,1
"West Fraser Mills Ltd (Joyce, LA)",2x8 | #2 | 10ft,4
"West Fraser Mills Ltd (Joyce, LA)",2x8 | #2 | 12ft,1
"West Fraser Mills Ltd (Joyce, LA)",2x8 | #2 | 8ft,1
"West Fraser Mills Ltd (New Boston, TX)",2x10 | #1 | 18ft,2
"West Fraser Mills Ltd (New Boston, TX)",2x8 | #2 | 10ft,1
"West Fraser Mills Ltd (New Boston, TX)",2x8 | #2 | 8ft,1
"West Fraser Mills Ltd. (Henderson, TX)",2x4 | #2 | 14ft,1
"West Fraser Mills Ltd. (Mansfield, AR)",4x6 | #2 | 14ft,7
"West Fraser Mills Ltd. (Mansfield, AR)",2x10 | #2 | 14ft,2
"West Fraser Mills Ltd. (Mansfield, AR)",4x6 | #2 | 16ft,2
"West Fraser Mills Ltd. (Mansfield, AR)",2x8 | #2 | 8ft,1
"West Fraser Mills Ltd. (Mansfield, AR)",4x4 | #2 | 12ft,1
"West Fraser Mills Ltd. (Mansfield, AR)",4x6 | #1 | 14ft,1
"West Fraser Mills Ltd. (Maplesville, AL)",2x8 | #2 | 10ft,2
"West Fraser Mills Ltd. (Maplesville, AL)",2x8 | #2 | 12ft,1
"West Fraser Mills Ltd. (Newberry, SC)",2x6 | #2 | 8ft,3
"West Fraser Mills Ltd. (Newberry, SC)",2x6 | #2 | 10ft,1
"West Fraser Mills Ltd. (Opelika, AL)",2x8 | #2 | 10ft,1
"West Fraser Mills Ltd. (Opelika, AL)",2x8 | #2 | 12ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x6 | #2 | 16ft,5
"West Fraser Mills Ltd. (Russellville, AR)",4x4 | #2 | 12ft,3
"West Fraser Mills Ltd. (Russellville, AR)",4x6 | #2 | 10ft,2
"West Fraser Mills Ltd. (Russellville, AR)",4x6 | #2 | 14ft,2
"West Fraser Mills Ltd. (Russellville, AR)",4x4 | #2 | 14ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x4 | #2 | 16ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x4 | #2 | 18ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x4 | #2 | 20ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x6 | #1 | 14ft,1
"West Fraser Mills Ltd. (Russellville, AR)",4x6 | #2 | 8ft,1
"Westervelt Lumber Division (Moundville, AL)",2x4 | #2 | 10ft,5
"Westervelt Lumber Division (Moundville, AL)",2x4 | #2 | 12ft,5
"Westervelt Lumber Division (Moundville, AL)",4x6 | #2 | 16ft,3
"Westervelt Lumber Division (Moundville, AL)",4x6 | #1 | 8ft,1
"Westervelt Lumber Division (Moundville, AL)",4x6 | #2 | 14ft,1
"Westervelt Lumber Division (Moundville, AL)",4x6 | #2 | 8ft,1
"Weyerhaeuser NR Company (Bruce, MS)",2x4 | #2 | 12ft,4
"Weyerhaeuser NR Company (Bruce, MS)",2x4 | #2 | 10ft,3
"Weyerhaeuser NR Company (Bruce, MS)",2x6 | #2 | 20ft,2
"Weyerhaeuser NR Company (Dierks, AR)",2x8 | #2 | 10ft,2
"Weyerhaeuser NR Company (Dierks, AR)",2x8 | #2 | 12ft,2
"Weyerhaeuser NR Company (Dierks, AR)",2x10 | #1 | 16ft,1
"Weyerhaeuser NR Company (Dierks, AR)",2x6 | #1 | 18ft,1
"Weyerhaeuser NR Company (Dierks, AR)",2x6 | #1 | 20ft,1
"Weyerhaeuser NR Company (Dierks, AR)",2x6 | #2 | 14ft,1
"Weyerhaeuser NR Company (Dierks, AR)",2x6 | #2 | 16ft,1
"Weyerhaeuser NR Company (Holden, LA)",2x4 | #2 | 12ft,1
"Weyerhaeuser NR Company (Philadelphia, MS)",2x4 | #1 | 18ft,2
"Weyerhaeuser NR Company (Philadelphia, MS)",2x8 | #2 | 12ft,2
"Weyerhaeuser NR Company (Philadelphia, MS)",2x8 | #2 | 14ft,2
"Weyerhaeuser NR Company (Philadelphia, MS)",2x4 | #1 | 20ft,1
"WoodPerfect (Albertville, AL)",2x4 | #2 | 12ft,1
"WoodPerfect (Albertville, AL)",2x6 | #1 | 10ft,1
"WoodPerfect (Albertville, AL)",2x6 | #1 | 12ft,1
"WoodPerfect (Albertville, AL)",2x6 | #1 | 14ft,1
"WoodPerfect (Albertville, AL)",2x6 | #1 | 16ft,1
"WoodPerfect (Albertville, AL)",2x8 | #2 | 12ft,1
