mill,profitable_index_relative,total_index_relative_margin,avg_index_relative_margin,median_index_relative_margin,n_rows,n_ok_matches,top_selling_product,top_selling_volume_or_count,best_product_by_index_margin,best_product_total_index_margin,worst_product_by_index_margin,worst_product_total_index_margin
"Hankins Lumber Company, Inc (Grenada, MS)",False,0.0,,,1,0,2x12 | #4 | <NA>ft,1,2x12 | #4 | <NA>ft,0.0,2x12 | #4 | <NA>ft,0.0
"Homan Forest Products Corporate, Inc (Fulton, MS)",False,0.0,,,5,0,6x6 | #4 | 8ft,1,6x6 | #4 | 10ft,0.0,6x6 | #4 | 10ft,0.0
"Hunt Forest Products, LLC (Pollock, LA)",False,0.0,,,1,0,4x4 | #4 | 8ft,1,4x4 | #4 | 8ft,0.0,4x4 | #4 | 8ft,0.0
"Jack Batte and Sons, Inc. (Forest, MS)",False,0.0,,,47,0,4x6 | #4 | 16ft,10,4x6 | #4 | 10ft,0.0,4x6 | #4 | 10ft,0.0
"Jordan Lumber & Supply, Inc (Mt. Gilead, NC)",False,0.0,,,1,0,2x6 | #4 | <NA>ft,1,2x6 | #4 | <NA>ft,0.0,2x6 | #4 | <NA>ft,0.0
"King Lumber - Lincoln Lumber Miss. LLC DBA (Forest, MS)",False,0.0,,,3,0,1x4 | #3 | 8ft,1,1x4 | #3 | 14ft,0.0,1x4 | #3 | 14ft,0.0
"Leesville Lumber (Leesville, LA)",False,0.0,,,7,0,2x4 | #3 | 10ft,4,2x4 | #3 | 10ft,0.0,2x4 | #3 | 10ft,0.0
"Littrell Lumber Mill, Inc (Decatur, AL)",False,0.0,,,11,0,6x6 | #4 | 8ft,3,1x4 | #4 | <NA>ft,0.0,1x4 | #4 | <NA>ft,0.0
"M C Dixon Lumber Co, Inc (Eufaula, AL)",False,0.0,,,1,0,4x4 | #4 | 8ft,1,4x4 | #4 | 8ft,0.0,4x4 | #4 | 8ft,0.0
"Martco Limited Partnership - Plywood Div (Chopin, LA)",False,0.0,,,35,0,6x6 | #4 | 8ft,35,6x6 | #4 | 8ft,0.0,6x6 | #4 | 8ft,0.0
"Meadwestvaco Corporation (Cottonton, AL)",False,0.0,,,33,0,4x5 | #4 | 8ft,5,4x5 | #4 | 8ft,0.0,4x5 | #4 | 8ft,0.0
"Randy Miller Lumber Co, Inc (Wilkesboro, NC)",False,0.0,,,3,0,1x4 | #3 | 10ft,1,1x4 | #3 | 10ft,0.0,1x4 | #3 | 10ft,0.0
"Snider Industries, LLP (Marshall, TX)",False,0.0,,,10,0,1x12 | #3 | 14ft,2,1x10 | #3 | 14ft,0.0,1x10 | #3 | 14ft,0.0
"Spanish Trails Lumber Company (Marianna, FL)",False,0.0,,,2,0,2x4 | #4 | 6ft,2,2x4 | #4 | 6ft,0.0,2x4 | #4 | 6ft,0.0
"Steely Lumber (Huntsville, TX)",False,0.0,,,3,0,1x4 | #4 | 12ft,1,1x4 | #4 | 12ft,0.0,1x4 | #4 | 12ft,0.0
"T R Miller Co, Inc. (Brewton, AL)",False,0.0,,,1,0,2x12 | #4 | <NA>ft,1,2x12 | #4 | <NA>ft,0.0,2x12 | #4 | <NA>ft,0.0
"Warren Timbers Company, LLC (Warren, AR)",False,0.0,,,29,0,6x6 | #4 | 12ft,10,4x4 | #4 | 10ft,0.0,4x4 | #4 | 10ft,0.0
"West Fraser Mills Ltd (Dudley, GA)",False,0.0,,,1,0,2x4 | #3 | <NA>ft,1,2x4 | #3 | <NA>ft,0.0,2x4 | #3 | <NA>ft,0.0
"West Fraser Mills Ltd. (Henderson, TX)",False,0.0,,,18,0,2x4 | #3 | 8ft,12,2x4 | #3 | 10ft,0.0,2x4 | #3 | 10ft,0.0
"West Fraser Mills Ltd. (Mc David, FL)",False,0.0,,,2,0,2x4 | #4 | 6ft,2,2x4 | #4 | 6ft,0.0,2x4 | #4 | 6ft,0.0
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",False,-1.6927082981510466e-05,-1.6927082981510466e-05,-1.6927082981510466e-05,9,1,6x6 | #4 | 10ft,4,6x6 | #4 | 10ft,0.0,2x8 | #3 | 12ft,-1.6927082981510466e-05
"Resolute FP US, Inc (Glenwood, AR)",False,-0.05493431013400141,-0.0183114367113338,0.0,3,3,2x8 | #3 | 12ft,1,2x8 | #3 | 12ft,0.0,2x8 | #3 | 16ft,-0.05493431013400141
"Interfor US, Inc (Eatonton, GA)",False,-4.1144022322390015,-4.1144022322390015,-4.1144022322390015,5,1,2x4 | #3 | 8ft,1,2x4 | #3 | 10ft,0.0,2x4 | #4 | 14ft,-4.1144022322390015
"Georgia-Pacific Corp (Albany, GA)",False,-7.150646003340995,-3.5753230016704975,-3.5753230016704975,3,2,2x4 | #3 | 10ft,1,2x4 | #4 | 8ft,22.849337196823,2x4 | #4 | 16ft,-29.999983200163996
"West Fraser Mills Ltd. (Russellville, AR)",False,-15.138777144263031,-2.5231295240438385,-4.999994419643002,28,6,6x6 | #4 | 12ft,10,2x8 | #3 | 8ft,5.0,2x8 | #3 | 10ft,-5.071633237822027
"Two Rivers Lumber Company, LLC (Demopolis, AL)",False,-19.999981742526984,-9.999990871263492,-9.999990871263492,2,2,2x6 | #3 | 8ft,1,2x6 | #3 | 8ft,5.000018257473016,2x6 | #3 | 16ft,-25.0
"West Fraser Mills Ltd (, )",False,-33.033936927772004,-33.033936927772004,-33.033936927772004,1,1,2x8 | #3 | 16ft,1,2x8 | #3 | 16ft,-33.033936927772004,2x8 | #3 | 16ft,-33.033936927772004
"Trimjoist Corporation (Columbus, MS)",False,-45.760624634986016,-5.720078079373252,58.0521571152605,18,8,2x4 | #4 | 8ft,8,2x4 | #3 | 8ft,0.0,2x4 | #4 | 8ft,-45.760624634986016
"Westervelt Lumber Division (Thomasville, AL)",False,-48.75905879969204,-0.8264247254185092,-10.000018028846,73,59,2x4 | #3 | 8ft,13,2x8 | #4 | 14ft,80.00001171874999,2x4 | #4 | 8ft,-94.82481025813803
"Potlatch Land & Lumber, LLC (Warren, AR)",False,-52.079340051673995,-4.73448545924309,-5.0,11,11,2x8 | #3 | 8ft,4,2x6 | #4 | 10ft,0.0,2x8 | #3 | 10ft,-20.038287232379986
"Anthony Timberlands, Inc (Malvern, AR)",False,-52.24968319066102,-1.8017132134710696,-0.01875167425700397,80,29,2x10 | #4 | <NA>ft,7,2x12 | #4 | 16ft,73.333333333333,2x12 | #4 | 10ft,-58.333323697916995
"Potlatch Land & Lumber, LLC (Ola, AR)",False,-55.019142120477994,-6.113238013386444,-10.0,11,9,2x8 | #3 | 12ft,2,2x8 | #4 | 12ft,0.0,2x8 | #3 | 12ft,-20.0
"West Fraser Mills Ltd. (Maplesville, AL)",False,-60.000012825385056,-7.500001603173132,-2.500008370535511,8,8,2x6 | #3 | 8ft,1,2x6 | #3 | 8ft,20.000019106657987,2x8 | #4 | 8ft,-65.0
"KyKenKee, Inc (Vance, AL)",False,-85.001416613007,-85.001416613007,-85.001416613007,16,1,4x4 | #4 | 8ft,5,1x4 | #4 | 8ft,0.0,2x4 | #4 | 8ft,-85.001416613007
"West Fraser Mills Ltd. (Opelika, AL)",False,-92.99993555630996,-4.894733450332104,0.0,19,19,2x6 | #3 | 8ft,3,2x6 | #3 | 10ft,27.0,2x6 | #4 | 14ft,-70.0
"Pinecrest Lbr / Green Bay Packaging (Plumerville, AR)",False,-113.48504229578288,-3.660807815992996,-5.0,234,31,4x4 | #4 | 8ft,37,2x4 | #4 | 8ft,85.18610210263799,2x4 | #4 | 12ft,-94.61538461538498
"Rex Lumber-Brookhaven (Brookhaven, MS)",False,-119.85287750849199,-17.121839644070285,-15.0,7,7,2x6 | #3 | 8ft,3,2x4 | #4 | 10ft,-19.988667971566997,2x6 | #3 | 8ft,-45.0
"Interfor US, Inc (Dequincy, LA)",False,-129.97519433502703,-5.65109540587074,-4.999980957031028,68,23,2x4 | #3 | 8ft,17,2x12 | #3 | 10ft,86.666676302083,2x4 | #4 | 14ft,-154.92658253927402
