Mill,AvgDaysOnReadyList,PctShippedToCustomers,PctShippedToPlants,AvgGrossMargin_Customers,AvgGrossMarginPct_Customers,TotalLoads
"Eastex Forest Products (Houston, TX)",3.0,100.0,0.0,4440.569138376752,44.876903816091215,8
"FG Sawmill (Tahlequah, OK)",4.533333333333333,100.0,0.0,3907.284319043666,34.616065060276235,15
"Flowers Timber Company, Inc (Seven Springs, NC)",2.1666666666666665,100.0,0.0,1466.7811054999859,18.34890134399339,6
"Fred Netterville Lumber Co (Woodville, MS)",0.3333333333333333,100.0,0.0,1510.5466666666664,17.43510360373105,3
"Frizzell Sawmill (Salem, MO)",6.25,100.0,0.0,2135.4999999999995,23.90883462312208,4
"G & S Lumber (Nacogdoches, TX)",3.3529411764705883,100.0,0.0,1110.8318083861914,18.090621643488273,18
"G K Sawmill, LLC (Halfway, MO)",5.769230769230769,100.0,0.0,2305.5729203651,25.316070462479342,14
"Georgia-Pacfic Corp (Talladega, AL)",4.875,100.0,0.0,462.00949198195855,4.879554294804406,56
"Georgia-Pacific Corp (Albany, GA)",5.0,100.0,0.0,836.6184677557661,10.068153459612505,3
"Georgia-Pacific Corp (Madison, GA)",2.0,100.0,0.0,12217.279999999999,93.80013512683496,1
"Georgia-Pacific Corp. (Camden, TX)",5.151515151515151,96.96969696969697,3.030303030303031,3044.8392235297842,34.77747525960886,33
"Georgia-Pacific Corp. (Corrigan, TX)",7.0,100.0,0.0,-1242.56,0.0,2
"Georgia-Pacific Corp. (Diboll, TX)",5.125,94.79166666666666,5.208333333333343,731.334441536459,7.786027267425004,96
"Georgia-Pacific Corp. (Dudley, NC)",5.5,100.0,0.0,-267.43999999999994,-3.3230475367024273,2
"Georgia-Pacific Corp. (Fordyce, AR)",5.6,100.0,0.0,4384.4439999999995,50.83953212562095,5
"Georgia-Pacific Corp. (Gurdon, AR)",4.634328358208955,98.50746268656717,1.492537313432834,1120.44430598772,10.119577780824587,134
"Georgia-Pacific Corp. (Mexia, AL)",4.666666666666667,100.0,0.0,779.0919352768049,6.588885889835104,39
"Georgia-Pacific Corp. (Pineland, TX)",4.860169491525424,99.15254237288136,0.8474576271186436,780.6065518542299,9.20955438350995,236
"Georgia-Pacific Corp. (Prosperity, SC)",2.5,100.0,0.0,2004.2457861731946,15.017032079049738,2
"Georgia-Pacific Corp. (Rome, GA)",4.7,100.0,0.0,980.6759747576631,8.482421541128664,20
"Georgia-Pacific Corp. (Taylorsville, MS)",4.260869565217392,100.0,0.0,2629.50626031591,19.606032813986396,23
"Georgia-Pacific Corp. (Warrenton, GA)",4.6,100.0,0.0,428.17610696763006,4.329603615846627,10
"Gloster Forest Products (Gloster, MS)",9.217821782178218,76.23762376237624,23.762376237623755,425.24318580602215,5.095157454294769,202
"Grayson Lumber Corporation (Grayson, AL)",5.0,100.0,0.0,938.399999999999,9.023076923076912,1
"Great Southern Wood Preserving (Abbeville, AL)",5.379310344827586,93.10344827586206,6.896551724137936,766.6793729135087,8.134931916843449,29
"Griffin Lumber Company, Inc. (Cordele, GA)",4.363636363636363,45.45454545454545,54.54545454545455,1987.5940000000003,20.7629994190726,11
"HLS Hostetler Logging Sawmill (Warm Springs, AR)",6.043478260869565,100.0,0.0,1398.390736695652,15.562831275123486,23
"Hankins Lumber Company, Inc (Grenada, MS)",10.25,50.0,50.0,107.70000000000118,0.9372389306599935,4
"Hankins, Inc. (Memphis, TN)",3.5,100.0,0.0,774.6999999999991,7.1825722549807836,2
"Hardy Technologies, LLC (Lumberton, MS)",6.5,100.0,0.0,1063.8967010568745,10.08776478808085,2
"Harrigan Lumber Company, Inc. (Monroeville, AL)",10.454545454545455,87.87878787878788,12.121212121212125,664.2659655172412,5.937419162210362,33
"Hatfield Lumber Co (Hatfield, AR)",5.0,33.33333333333333,66.66666666666667,683.5086319999992,14.239985666442692,3
"Homan Forest Products Corporate, Inc (Fulton, MS)",5.875,100.0,0.0,992.4758351020407,7.72149827645897,98
"Hood Industries, Inc (Waynesboro, MS)",5.517241379310345,65.51724137931035,34.48275862068965,389.91323046562195,5.4968914630730525,29
"Hood Industries, Inc. (Bogalusa, LA)",5.836538461538462,91.34615384615384,8.65384615384616,739.3994340685654,8.756244763066032,104
"Hood Industries, Inc. (Silver Creek, MS)",6.2,96.0,4.0,962.3465531193951,10.016809848570984,25
"Hood Industries, Inc. (Wiggins, MS)",8.0,100.0,0.0,8361.2,79.39456092373139,1
"Hoover Treated Wood Products, Inc (Pine Bluff, AR)",1.0,100.0,0.0,35136.733573853875,83.28990018408578,1
"Hopkins Lumber Contractors, Inc (Ridgeway, VA)",3.0,100.0,0.0,889.82,10.805343047966,1
"Hunt Forest Products, LLC (Pollock, LA)",5.6,100.0,0.0,3600.8359999999993,35.67830101506435,5
"Idaho Forest Group, LLC (Moyie Springs, ID)",4.5,100.0,0.0,982.9374999999995,7.120734236249276,2
"Idaho Timber (Fort Worth, TX)",1.0,100.0,0.0,4105.879999999998,30.228524310156953,1
"Industria de Compensados Sudati LTDA (Corpus Christi, TX)",0.0,100.0,0.0,13131.0,91.54988496130517,1
"Industria de Compensados Sudati LTDA (Houston, TX)",0.0,100.0,0.0,14127.0,92.70281725234408,4
"Industrial and Wholesale Lumber, Inc (Schiller Park, IL)",3.142857142857143,100.0,0.0,2216.0341651428566,12.643062788407791,7
"Industrial and Wholesale Lumber, Inc (Wood Dale, IL)",11.0,100.0,0.0,614.8800000000017,3.29531812725091,1
"Interfor US, Inc (Baxley, GA)",4.333333333333333,100.0,0.0,828.4237496666661,10.46156264992434,3
"Interfor US, Inc (Bay Springs, MS)",12.875,96.875,3.125,76.45553200613307,2.312236377683333,32
"Interfor US, Inc (Belk, AL)",8.142857142857142,100.0,0.0,1424.8329674282297,13.542428655269601,14
"Interfor US, Inc (Dequincy, LA)",3.1666666666666665,100.0,0.0,717.4677923333333,7.60998461792956,6
"Interfor US, Inc (Eatonton, GA)",6.0,100.0,0.0,617.5858589999993,5.071492427569443,1
"Interfor US, Inc (Monticello, AR)",8.666666666666666,100.0,0.0,1347.64449283049,8.64262925128606,9
"Interfor US, Inc (Perry, GA)",6.285714285714286,85.71428571428571,14.285714285714292,1031.8500034999995,12.53593790914786,7
"Interfor US, Inc (Preston, GA)",7.75,100.0,0.0,995.6223214999998,10.4435231384441,8
"Interfor US, Inc (Swainsboro, GA)",7.0,100.0,0.0,864.5340915527937,10.099350916846142,10
"Interfor US, Inc (Thomaston, GA)",1.0,100.0,0.0,1102.24,12.386723245109321,1
"International Forest Products (New Orleans, LA)",7.2,100.0,0.0,4941.816,26.02318486362296,5
"JHT Robertson Lumber, Inc (Fairfield, IL)",1.0,100.0,0.0,4696.460090408604,25.459854305520082,7
"Jack Batte and Sons, Inc. (Forest, MS)",8.458333333333334,66.66666666666666,33.33333333333334,646.246,5.1093308617006805,48
