region,grade,dimension,length,transaction_date,price
Central,1,2x10,10,2025-02-14,440.0
Central,1,2x10,10,2025-02-21,440.0
Central,1,2x10,10,2025-02-28,440.0
Central,1,2x10,10,2025-03-07,445.0
Central,1,2x10,10,2025-03-14,445.0
Central,1,2x10,10,2025-03-21,435.0
Central,1,2x10,10,2025-03-28,440.0
Central,1,2x10,10,2025-04-04,450.0
Central,1,2x10,10,2025-04-11,460.0
Central,1,2x10,10,2025-04-18,480.0
Central,1,2x10,10,2025-04-25,495.0
Central,1,2x10,10,2025-05-02,510.0
Central,1,2x10,10,2025-05-09,510.0
Central,1,2x10,10,2025-05-16,510.0
Central,1,2x10,10,2025-05-23,500.0
Central,1,2x10,10,2025-05-30,485.0
Central,1,2x10,10,2025-06-06,480.0
Central,1,2x10,10,2025-06-13,470.0
Central,1,2x10,10,2025-06-19,455.0
Central,1,2x10,10,2025-06-27,445.0
Central,1,2x10,10,2025-07-03,440.0
Central,1,2x10,10,2025-07-11,440.0
Central,1,2x10,10,2025-07-18,440.0
Central,1,2x10,10,2025-07-25,445.0
Central,1,2x10,10,2025-08-01,445.0
Central,1,2x10,10,2025-08-08,430.0
Central,1,2x10,10,2025-08-15,410.0
Central,1,2x10,10,2025-08-22,395.0
Central,1,2x10,10,2025-08-29,375.0
Central,1,2x10,10,2025-09-05,365.0
Central,1,2x10,10,2025-09-12,350.0
Central,1,2x10,10,2025-09-19,350.0
Central,1,2x10,10,2025-09-26,360.0
Central,1,2x10,10,2025-10-03,365.0
Central,1,2x10,10,2025-10-10,375.0
Central,1,2x10,10,2025-10-17,380.0
Central,1,2x10,12,2024-01-12,450.0
Central,1,2x10,12,2024-01-18,450.0
Central,1,2x10,12,2024-01-25,450.0
Central,1,2x10,12,2024-02-08,450.0
Central,1,2x10,12,2024-02-15,450.0
Central,1,2x10,12,2024-02-22,450.0
Central,1,2x10,12,2024-02-29,450.0
Central,1,2x10,12,2024-03-07,420.0
Central,1,2x10,12,2024-03-14,395.0
Central,1,2x10,12,2024-03-21,400.0
Central,1,2x10,12,2024-03-28,400.0
Central,1,2x10,12,2024-04-04,390.0
Central,1,2x10,12,2024-04-11,370.0
Central,1,2x10,12,2024-04-18,360.0
Central,1,2x10,12,2024-04-25,360.0
Central,1,2x10,12,2024-05-02,370.0
Central,1,2x10,12,2024-05-09,395.0
Central,1,2x10,12,2024-05-16,410.0
Central,1,2x10,12,2024-05-30,450.0
Central,1,2x10,12,2024-06-06,460.0
Central,1,2x10,12,2024-06-13,445.0
Central,1,2x10,12,2024-06-20,440.0
Central,1,2x10,12,2024-06-27,440.0
Central,1,2x10,12,2024-07-04,440.0
Central,1,2x10,12,2024-07-11,440.0
Central,1,2x10,12,2024-07-18,440.0
Central,1,2x10,12,2024-07-25,445.0
Central,1,2x10,12,2024-08-01,450.0
Central,1,2x10,12,2024-08-08,450.0
Central,1,2x10,12,2024-08-15,450.0
Central,1,2x10,12,2024-08-22,445.0
Central,1,2x10,12,2024-08-29,440.0
Central,1,2x10,12,2024-09-05,445.0
Central,1,2x10,12,2024-09-12,445.0
Central,1,2x10,12,2024-09-20,435.0
Central,1,2x10,12,2024-09-27,435.0
Central,1,2x10,12,2024-10-04,425.0
Central,1,2x10,12,2024-10-11,420.0
Central,1,2x10,12,2024-10-18,420.0
Central,1,2x10,12,2024-10-25,415.0
Central,1,2x10,12,2024-11-01,415.0
Central,1,2x10,12,2024-11-08,410.0
Central,1,2x10,12,2024-11-15,400.0
Central,1,2x10,12,2024-11-22,390.0
Central,1,2x10,12,2024-11-27,380.0
Central,1,2x10,12,2024-12-06,375.0
Central,1,2x10,12,2024-12-13,375.0
Central,1,2x10,12,2024-12-20,385.0
Central,1,2x10,12,2025-01-03,400.0
Central,1,2x10,12,2025-01-10,375.0
Central,1,2x10,12,2025-01-17,380.0
Central,1,2x10,12,2025-01-24,380.0
Central,1,2x10,12,2025-01-31,380.0
Central,1,2x10,12,2025-02-07,385.0
Central,1,2x10,12,2025-02-14,390.0
Central,1,2x10,12,2025-02-21,395.0
Central,1,2x10,12,2025-02-28,400.0
Central,1,2x10,12,2025-03-07,405.0
Central,1,2x10,12,2025-03-14,405.0
Central,1,2x10,12,2025-03-21,405.0
Central,1,2x10,12,2025-03-28,410.0
Central,1,2x10,12,2025-04-04,425.0
Central,1,2x10,12,2025-04-11,440.0
Central,1,2x10,12,2025-04-18,465.0
Central,1,2x10,12,2025-04-25,485.0
Central,1,2x10,12,2025-05-02,495.0
Central,1,2x10,12,2025-05-09,500.0
Central,1,2x10,12,2025-05-16,495.0
Central,1,2x10,12,2025-05-23,490.0
Central,1,2x10,12,2025-05-30,475.0
Central,1,2x10,12,2025-06-06,465.0
Central,1,2x10,12,2025-06-13,455.0
Central,1,2x10,12,2025-06-19,440.0
Central,1,2x10,12,2025-06-27,425.0
Central,1,2x10,12,2025-07-03,420.0
Central,1,2x10,12,2025-07-11,420.0
Central,1,2x10,12,2025-07-18,425.0
Central,1,2x10,12,2025-07-25,430.0
Central,1,2x10,12,2025-08-01,430.0
Central,1,2x10,12,2025-08-08,425.0
Central,1,2x10,12,2025-08-15,410.0
Central,1,2x10,12,2025-08-22,400.0
Central,1,2x10,12,2025-08-29,380.0
Central,1,2x10,12,2025-09-05,370.0
Central,1,2x10,12,2025-09-12,370.0
Central,1,2x10,12,2025-09-19,370.0
Central,1,2x10,12,2025-09-26,375.0
Central,1,2x10,12,2025-10-03,385.0
Central,1,2x10,12,2025-10-10,395.0
Central,1,2x10,12,2025-10-17,400.0
Central,1,2x10,14,2024-01-12,330.0
Central,1,2x10,14,2024-01-18,330.0
Central,1,2x10,14,2024-01-25,330.0
Central,1,2x10,14,2024-02-08,335.0
Central,1,2x10,14,2024-02-15,335.0
Central,1,2x10,14,2024-02-22,330.0
Central,1,2x10,14,2024-02-29,335.0
Central,1,2x10,14,2024-03-07,345.0
Central,1,2x10,14,2024-03-14,345.0
Central,1,2x10,14,2024-03-21,345.0
Central,1,2x10,14,2024-03-28,345.0
Central,1,2x10,14,2024-04-04,345.0
Central,1,2x10,14,2024-04-11,345.0
Central,1,2x10,14,2024-04-18,325.0
Central,1,2x10,14,2024-04-25,325.0
Central,1,2x10,14,2024-05-02,340.0
Central,1,2x10,14,2024-05-09,365.0
Central,1,2x10,14,2024-05-16,365.0
Central,1,2x10,14,2024-05-30,400.0
Central,1,2x10,14,2024-06-06,410.0
Central,1,2x10,14,2024-06-13,415.0
Central,1,2x10,14,2024-06-20,410.0
Central,1,2x10,14,2024-06-27,410.0
Central,1,2x10,14,2024-07-04,410.0
Central,1,2x10,14,2024-07-11,410.0
Central,1,2x10,14,2024-07-18,410.0
Central,1,2x10,14,2024-07-25,415.0
Central,1,2x10,14,2024-08-01,420.0
Central,1,2x10,14,2024-08-08,420.0
Central,1,2x10,14,2024-08-15,420.0
Central,1,2x10,14,2024-08-22,420.0
Central,1,2x10,14,2024-08-29,415.0
Central,1,2x10,14,2024-09-05,420.0
Central,1,2x10,14,2024-09-12,420.0
Central,1,2x10,14,2024-09-20,410.0
Central,1,2x10,14,2024-09-27,410.0
Central,1,2x10,14,2024-10-04,395.0
