address,lat,lon
"27710 Highway Blvd, Katy, TX 77494",,
"4600 S Old Wire Rd, Rogers, AR 72758",,
"190 Old Roebuck Rd, Moore, SC 29369",,
"608 Pederson Rd, Katy, TX 77494",,
"1801 Bradbury Ct, Gastonia, NC 28052",,
"Park Falls, WI 54552",,
"1609 Industrial Dr, Henderson, TX 75652",,
"610 S Walnut Ave, Princeville, IL 61559",,
"400 N Steel Rd, Columbus, MS 39701",,
"4255 McEver Industrial Dr NW, Acworth, GA 30101",,
"3300 Pinson Valley Pkwy, Birmingham, AL 35217-0729",,
"365 W Prosper Trail, Prosper, TX 75078",,
"Hazlehurst, GA 31539",,
"3625 Old Getwell Rd, Memphis, TN 38118",,
"698 State Highway 179, Teague, TX 75860",,
"3520 S Riverview Rd, Port Allen, LA 70767",,
"11500 Eastex Frwy, Houston, TX 77093",,
"101 Goforth Rd, Ft Worth, TX 76126",,
"2260 Flowood Dr, Flowood, MS 39232",,
"301 W Irving Park Rd, Wood Dale, IL 60191",,
"4052 Hwy 184 N, Toccoa, GA 30577",,
"6802 Safety Steel Dr, Corpus Christi, TX 78414",,
"7000 Granger Rd, Independence, OH 44131",,
"808 W Randolph, Mc Leansboro, IL 62859",,
"Viola, AR 72583",,
"208 Wagon Wheel Rd, Monroe, LA 71202",,
"601 E Dodge St, Fremont, NE 68025",,
"102 Westside Blvd NW, Roanoke, VA 24017",,
"Bucks, AL 36512",,
"925 Hastings Ave, Searcy, AR 72143",,
"Rison, AR 71665",,
"817 Shields St, Channelview, TX 77530",,
"Tulsa, OK 74146",,
"11308 Hwy 36, Bellville, TX 77418",,
"2411 Audie Murphy Pkwy, Farmersville, TX 75442",,
"402 S IH-45 Service Rd, Hutchins, TX 75141",,
"Opelika, AL 36801",,
"4700 Little York Rd, Houston, TX 77093",,
"Belk, AL 35545",,
"2000 Independence Ave NW, Decatur, AL 35601",,
"480 CR 411, Seminole, TX 79360",,
"500 Harris Pkwy, Riverside, AL 35135",,
"5590 Mudd St, Lincoln, AL 35096",,
"New Orleans, LA 70115",,
"3280 North Freeway, Fort Worth, TX 76111",,
"10290 Old Hwy 78, Olive Branch, MS 38654",,
"1211 E Richey Rd, Houston, TX 77073",,
"1730 Hwy 2227, Somerset, KY 42503",,
"1324 2nd St, Rock Island, IL 61201",,
"722 Winer Industrial Way, Lawrenceville, GA 30046",,
"Carrollton, GA 30117",,
"Albany, GA 31705",,
"1312 W Stanford Ave, Englewood, CO 80110",,
"Florien, LA 71429",,
