iter	MAE
0	84.24278621
1	82.60381123
2	81.23181187
3	79.72665738
4	78.23426836
5	76.87903505
6	75.47832571
7	74.08520753
8	72.8796968
9	71.74805707
10	70.56240907
11	69.47395166
12	68.48142036
13	67.45390905
14	66.48066161
15	65.52416132
16	64.73866026
17	63.83633744
18	63.08279065
19	62.22382936
20	61.45602471
21	60.76293431
22	59.99507844
23	59.25578644
24	58.55786655
25	57.8982311
26	57.30994686
27	56.65933293
28	56.0067175
29	55.44373183
30	54.83592735
31	54.13135
32	53.57971458
33	53.10213166
34	52.49714344
35	51.94666927
36	51.38271095
37	50.93465398
38	50.52471229
39	50.18914173
40	49.67539616
41	49.21593747
42	48.7983168
43	48.35626781
44	47.98050913
45	47.46439824
46	47.05146455
47	46.84468202
48	46.42621587
49	46.2436284
50	45.82878793
51	45.48104717
52	45.15768299
53	44.8261108
54	44.5228423
55	44.15473872
56	43.84325786
57	43.53003468
58	43.23617761
59	42.96175248
60	42.72463298
61	42.42543306
62	42.19910906
63	41.94188834
64	41.66980752
65	41.39279882
66	41.17978436
67	40.98814749
68	40.75385856
69	40.52830292
70	40.2801194
71	40.0678595
72	39.88609132
73	39.62406631
74	39.41932546
75	39.23570461
76	39.07710521
77	38.90080974
78	38.75307996
79	38.53692173
80	38.40789767
81	38.2455244
82	38.20908433
83	38.04073692
84	37.87907136
85	37.74567409
86	37.54012912
87	37.38486533
88	37.23313121
89	37.13110101
90	36.98825416
91	36.8313192
92	36.68995843
93	36.53348387
94	36.42898017
95	36.27220834
96	36.12689837
97	36.02497951
98	35.92624349
99	35.7800154
100	35.70543454
101	35.56639717
102	35.44763326
103	35.381799
104	35.26456931
105	35.16258825
106	35.03683994
107	34.95762105
108	34.90166599
109	34.82547357
110	34.7340462
111	34.57190587
112	34.46569446
113	34.38646511
114	34.28703433
115	34.17312192
116	34.1085282
117	34.05076313
118	33.98418767
119	33.91005295
120	33.83931567
121	33.70776026
122	33.57798488
123	33.47034295
124	33.39971462
125	33.28274871
126	33.19707804
127	33.09352849
128	32.96766317
129	32.90624068
130	32.85027308
131	32.82003897
132	32.73130565
133	32.69107234
134	32.60666002
135	32.5447907
136	32.46047379
137	32.39466378
138	32.31910344
139	32.25591327
140	32.1529615
141	31.98433111
142	31.8825444
143	31.81171426
144	31.73272163
145	31.66898745
146	31.60757214
147	31.48370173
148	31.38421043
149	31.34513156
150	31.28446243
151	31.220548
152	31.14736604
153	31.07176896
154	31.03242556
155	30.94729557
156	30.88090451
157	30.78038347
158	30.71111796
159	30.68840123
160	30.62709178
161	30.59660418
162	30.52204913
163	30.46787638
164	30.40768518
165	30.34043874
166	30.26797845
167	30.22011602
168	30.13330322
169	30.07219034
170	29.99992003
171	29.92735147
172	29.8906598
173	29.82027176
174	29.77105939
175	29.74066291
176	29.65950134
177	29.61291784
178	29.55569278
179	29.50445076
180	29.45380898
181	29.42842504
182	29.38856057
183	29.34583187
184	29.2588706
185	29.17976386
186	29.10870863
187	29.04358857
188	28.99702612
189	28.92568838
190	28.8806481
191	28.79412402
192	28.75436746
193	28.6970641
194	28.64992099
195	28.6039881
196	28.53557875
197	28.46283117
198	28.45362369
199	28.39718949
200	28.34810499
201	28.29403318
202	28.27402238
203	28.21879017
204	28.13565969
205	28.08124093
206	28.02159086
207	27.96144965
208	27.91452602
209	27.884217
210	27.80612174
211	27.77568879
212	27.75047324
213	27.69148201
214	27.65129455
215	27.60809312
216	27.55986322
217	27.52287531
218	27.4716048
219	27.43334969
220	27.38766127
221	27.34566473
222	27.29261657
223	27.24761586
224	27.20132966
225	27.13530988
226	27.08547831
227	27.03318039
228	26.94646205
229	26.91191558
230	26.86923636
231	26.7854133
232	26.71383431
233	26.68263416
234	26.6580583
235	26.5894304
236	26.571738
237	26.55333202
238	26.51772612
239	26.46460812
240	26.37686061
241	26.33131313
242	26.26781704
243	26.25632635
244	26.21189928
245	26.16485462
246	26.12294678
247	26.06002384
248	26.00766442
249	25.97394749
250	25.91290293
251	25.85576388
252	25.82133297
253	25.73274038
254	25.70101415
255	25.66045313
256	25.62808272
257	25.59185608
258	25.55501609
259	25.51116542
260	25.48784736
261	25.42665892
262	25.39695757
263	25.3351741
264	25.29556121
265	25.25010222
266	25.22751673
267	25.18925587
268	25.15700777
269	25.11770151
270	25.08923286
271	25.07473347
272	25.04406724
273	25.00924542
274	24.96488441
275	24.94179721
276	24.88572871
277	24.84676857
278	24.82801941
279	24.79857894
280	24.77474475
281	24.74285029
282	24.69967186
283	24.66250128
284	24.63146799
285	24.61862362
286	24.58117948
287	24.53747499
288	24.515806
289	24.48783915
290	24.45151341
